split	index	plan_length	object_count	ordered_units
train	130	7	1	fetch(peach) || state_change(push,cardboardbox,R1) || relocate(peach,cardboardbox) || state_change(push,cardboardbox,R2) || fetch(peach) || relocate(peach,sink)
train	255	7	1	fetch(pear) || state_change(push,cardboardbox,R1) || relocate(pear,cardboardbox) || state_change(push,cardboardbox,R2) || fetch(pear) || relocate(pear,sink)
train	323	7	1	state_change(push,cardboardbox,R3) || fetch(pumpkin) || relocate(pumpkin,cardboardbox) || state_change(push,cardboardbox,R1) || fetch(pumpkin) || relocate(pumpkin,sink)
train	708	5	1	fetch(apple) || relocate(apple,bowl)
train	856	8	2	fetch(banana) || fetch(bread) || relocate(banana,plate) || relocate(bread,plate) || multi_object_sequence(2)
train	968	7	2	fetch(bread) || fetch(spoon) || state_change(open,cabinet) || relocate(bread,cabinet) || relocate(spoon,cabinet) || multi_object_sequence(2)
train	1099	2	0	state_change(interact,drawer)
train	1266	8	1	state_change(open,cabinet) || fetch(bread) || open_container_then_retrieve(cabinet,bread) || relocate(bread,plate)
train	1440	8	2	fetch(banana) || state_change(open,cabinet) || relocate(banana,table) || fetch(pear) || open_container_then_retrieve(cabinet,pear) || relocate(pear,table) || multi_object_sequence(2)
train	1644	5	2	fetch(pear) || fetch(tomato) || relocate(pear,bowl) || relocate(tomato,bowl) || multi_object_sequence(2)
train	1880	5	1	fetch(plate) || relocate(plate,kitchen work area)
train	2115	8	1	state_change(open,cabinet) || fetch(bread) || open_container_then_retrieve(cabinet,bread) || relocate(bread,plate)
train	3555	6	1	fetch(apple) || fetch(knife) || relocate(apple,wooden cutting board) || state_change(interact,knife)
train	4053	6	2	fetch(bowl) || fetch(bread) || relocate(bowl,kitchen island area) || relocate(bread,toaster) || state_change(interact,toaster) || multi_object_sequence(2)
train	4234	8	2	fetch(tomato) || state_change(open,cabinet) || relocate(tomato,table) || fetch(pear) || open_container_then_retrieve(cabinet,pear) || relocate(pear,table) || multi_object_sequence(2)
train	4552	5	2	fetch(pear) || fetch(tomato) || relocate(pear,bowl) || relocate(tomato,bowl) || multi_object_sequence(2)
train	5205	5	1	fetch(spoon) || relocate(spoon,kitchen work area)
train	5590	5	2	fetch(banana) || fetch(meat) || relocate(banana,plate) || relocate(meat,plate) || multi_object_sequence(2)
train	5733	9	2	fetch(apple) || fetch(knife) || fetch(bread) || relocate(apple,wooden cutting board) || relocate(bread,wooden cutting board) || state_change(interact,knife) || multi_object_sequence(2)
train	5779	2	0	state_change(interact,oven)
train	5854	8	2	fetch(banana) || fetch(green peas) || relocate(banana,bowl) || relocate(green peas,bowl) || multi_object_sequence(2)
train	6280	11	1	fetch(peach) || relocate(peach,sink) || state_change(interact,sink) || fetch(peach) || check_then_act(sink,peach) || relocate(peach,plate)
train	6693	7	2	fetch(scissors) || fetch(pumpkin) || state_change(open,cabinet) || relocate(scissors,cabinet) || relocate(pumpkin,cabinet) || multi_object_sequence(2)
train	7034	8	1	state_change(open,cabinet) || fetch(apple) || open_container_then_retrieve(cabinet,apple) || relocate(apple,plate)
