bank,kind,skill,inst,e_src,demo_parse,seq_parse,provenance_episode,provenance_steps,transition,n_transitions,single_errand
R,individual,navigate_to_target_individual,0,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,1,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,2,agent_0_llm,0,0,0,0,0,0,0
R,individual,navigate_to_target_individual,3,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,4,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,5,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,6,agent_0_llm,0,0,0,0,0,0,0
R,individual,navigate_to_target_individual,7,agent_1_llm,0,0,0,0,0,0,0
R,individual,navigate_to_target_individual,8,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,9,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,10,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,11,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,12,agent_0_llm,0,0,0,0,0,0,0
R,individual,navigate_to_target_individual,13,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,14,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,15,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,16,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,17,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,18,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,19,agent_0_llm,0,0,0,0,0,0,0
R,individual,navigate_to_target_individual,20,agent_1_llm,0,0,0,0,0,0,0
R,individual,navigate_to_target_individual,21,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,22,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,23,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,24,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,25,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,26,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,27,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,28,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,29,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,30,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,31,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,32,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,33,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,34,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,35,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,36,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,37,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,38,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,39,agent_0_llm,0,0,0,0,0,0,0
R,individual,navigate_to_target_individual,40,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,41,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,42,agent_0_llm,0,0,0,0,0,0,0
R,individual,navigate_to_target_individual,43,agent_0_llm,0,0,0,0,0,0,0
R,individual,navigate_to_target_individual,44,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,45,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,46,agent_1_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,47,agent_0_llm,0,1,0,0,0,0,0
R,individual,navigate_to_target_individual,48,agent_1_llm,0,1,0,0,0,0,0
