log,episode_id,success,percent_complete
heuristic_all_tasks_167891.log,3,1.0,1.0
heuristic_all_tasks_167891.log,0,1.0,1.0
heuristic_all_tasks_167891.log,807,1.0,1.0
heuristic_all_tasks_167891.log,1191,1.0,1.0
heuristic_all_tasks_167891.log,221,1.0,1.0
heuristic_all_tasks_167891.log,15,1.0,1.0
heuristic_all_tasks_167891.log,34,1.0,1.0
heuristic_all_tasks_167891.log,37,1.0,1.0
heuristic_all_tasks_167891.log,801,1.0,1.0
heuristic_all_tasks_167891.log,36,1.0,1.0
heuristic_all_tasks_167891.log,46,1.0,1.0
heuristic_all_tasks_167891.log,754,1.0,1.0
heuristic_all_tasks_167891.log,747,1.0,1.0
heuristic_all_tasks_167891.log,748,1.0,1.0
heuristic_all_tasks_167891.log,1136,1.0,1.0
heuristic_all_tasks_167891.log,749,1.0,1.0
heuristic_all_tasks_167891.log,745,1.0,1.0
heuristic_all_tasks_167891.log,746,1.0,1.0
heuristic_all_tasks_167891.log,753,1.0,1.0
heuristic_all_tasks_167891.log,752,1.0,1.0
heuristic_all_tasks_167891.log,751,1.0,1.0
heuristic_all_tasks_167891.log,755,1.0,1.0
heuristic_all_tasks_167891.log,750,1.0,1.0
heuristic_all_tasks_167891.log,1137,1.0,1.0
heuristic_all_tasks_167891.log,534,1.0,1.0
heuristic_all_tasks_167891.log,529,1.0,1.0
heuristic_all_tasks_167891.log,528,1.0,1.0
heuristic_all_tasks_167891.log,530,1.0,1.0
heuristic_all_tasks_167891.log,532,1.0,1.0
heuristic_all_tasks_167891.log,527,1.0,1.0
heuristic_all_tasks_167891.log,533,1.0,1.0
heuristic_all_tasks_167891.log,535,1.0,1.0
heuristic_all_tasks_167891.log,531,1.0,1.0
heuristic_all_tasks_167891.log,525,1.0,1.0
heuristic_all_tasks_167891.log,862,1.0,1.0
heuristic_all_tasks_167891.log,601,1.0,1.0
heuristic_all_tasks_167891.log,596,1.0,1.0
heuristic_all_tasks_167891.log,595,1.0,1.0
heuristic_all_tasks_167891.log,600,1.0,1.0
heuristic_all_tasks_167891.log,992,1.0,1.0
heuristic_all_tasks_167891.log,592,1.0,1.0
heuristic_all_tasks_167891.log,599,1.0,1.0
heuristic_all_tasks_167891.log,591,1.0,1.0
heuristic_all_tasks_167891.log,594,1.0,1.0
heuristic_all_tasks_167891.log,593,0.0,0.5
heuristic_all_tasks_167891.log,598,1.0,1.0
heuristic_all_tasks_167891.log,597,1.0,1.0
heuristic_all_tasks_167891.log,989,1.0,1.0
heuristic_all_tasks_167891.log,108,1.0,1.0
heuristic_all_tasks_167891.log,265,1.0,1.0
heuristic_all_tasks_167891.log,119,1.0,1.0
heuristic_all_tasks_167891.log,288,1.0,1.0
heuristic_all_tasks_167891.log,88,1.0,1.0
heuristic_all_tasks_167891.log,822,0.0,0.75
heuristic_all_tasks_167891.log,116,1.0,1.0
heuristic_all_tasks_167891.log,235,1.0,1.0
heuristic_all_tasks_167891.log,98,1.0,1.0
heuristic_all_tasks_167891.log,1211,0.0,0.25
heuristic_all_tasks_167891.log,137,1.0,1.0
heuristic_all_tasks_167891.log,140,1.0,1.0
heuristic_all_tasks_167891.log,93,1.0,1.0
heuristic_all_tasks_167891.log,117,1.0,1.0
heuristic_all_tasks_167891.log,586,1.0,1.0
heuristic_all_tasks_167891.log,588,1.0,1.0
heuristic_all_tasks_167891.log,585,1.0,1.0
heuristic_all_tasks_167891.log,979,1.0,1.0
heuristic_all_tasks_167891.log,587,1.0,1.0
heuristic_all_tasks_167891.log,589,1.0,1.0
heuristic_all_tasks_167891.log,590,0.0,0.75
heuristic_all_tasks_167891.log,580,1.0,1.0
heuristic_all_tasks_167891.log,581,1.0,1.0
heuristic_all_tasks_167891.log,582,1.0,1.0
heuristic_all_tasks_167891.log,584,0.0,0.5
heuristic_all_tasks_167891.log,583,1.0,1.0
heuristic_all_tasks_167891.log,655,1.0,1.0
heuristic_all_tasks_167891.log,653,1.0,1.0
heuristic_all_tasks_167891.log,651,1.0,1.0
heuristic_all_tasks_167891.log,649,0.0,0.5
heuristic_all_tasks_167891.log,650,1.0,1.0
heuristic_all_tasks_167891.log,646,1.0,1.0
heuristic_all_tasks_167891.log,656,1.0,1.0
heuristic_all_tasks_167891.log,647,1.0,1.0
heuristic_all_tasks_167891.log,654,1.0,1.0
heuristic_all_tasks_167891.log,1042,1.0,1.0
heuristic_all_tasks_167891.log,652,1.0,1.0
heuristic_all_tasks_167891.log,548,1.0,1.0
heuristic_all_tasks_167891.log,555,1.0,1.0
heuristic_all_tasks_167891.log,437,1.0,1.0
heuristic_all_tasks_167891.log,550,1.0,1.0
heuristic_all_tasks_167891.log,557,1.0,1.0
heuristic_all_tasks_167891.log,944,1.0,1.0
heuristic_all_tasks_167891.log,554,1.0,1.0
heuristic_all_tasks_167891.log,549,1.0,1.0
heuristic_all_tasks_167891.log,553,1.0,1.0
heuristic_all_tasks_167891.log,556,1.0,1.0
heuristic_all_tasks_167891.log,552,1.0,1.0
heuristic_all_tasks_167891.log,547,1.0,1.0
heuristic_all_tasks_167891.log,551,1.0,1.0
heuristic_all_tasks_167891.log,74,1.0,1.0
heuristic_all_tasks_167891.log,77,1.0,1.0
heuristic_all_tasks_167891.log,70,1.0,1.0
heuristic_all_tasks_167891.log,469,1.0,1.0
heuristic_all_tasks_167891.log,79,1.0,1.0
heuristic_all_tasks_167891.log,62,1.0,1.0
heuristic_all_tasks_167891.log,76,0.0,0.5
heuristic_all_tasks_167891.log,467,1.0,1.0
heuristic_all_tasks_167891.log,64,1.0,1.0
heuristic_all_tasks_167891.log,460,1.0,1.0
heuristic_all_tasks_167891.log,171,1.0,1.0
heuristic_all_tasks_167891.log,176,1.0,1.0
heuristic_all_tasks_167891.log,761,1.0,1.0
heuristic_all_tasks_167891.log,764,1.0,1.0
heuristic_all_tasks_167891.log,757,1.0,1.0
heuristic_all_tasks_167891.log,766,1.0,1.0
heuristic_all_tasks_167891.log,759,1.0,1.0
heuristic_all_tasks_167891.log,756,1.0,1.0
heuristic_all_tasks_167891.log,1149,1.0,1.0
heuristic_all_tasks_167891.log,760,1.0,1.0
heuristic_all_tasks_167891.log,765,1.0,1.0
heuristic_all_tasks_167891.log,762,1.0,1.0
heuristic_all_tasks_167891.log,758,1.0,1.0
heuristic_all_tasks_167891.log,763,1.0,1.0
heuristic_all_tasks_167891.log,793,1.0,1.0
heuristic_all_tasks_167891.log,792,1.0,1.0
heuristic_all_tasks_167891.log,791,1.0,1.0
heuristic_all_tasks_167891.log,799,1.0,1.0
heuristic_all_tasks_167891.log,796,1.0,1.0
heuristic_all_tasks_167891.log,797,1.0,1.0
heuristic_all_tasks_167891.log,794,1.0,1.0
heuristic_all_tasks_167891.log,795,1.0,1.0
heuristic_all_tasks_167891.log,1181,1.0,1.0
heuristic_all_tasks_167891.log,789,1.0,1.0
heuristic_all_tasks_167891.log,790,1.0,1.0
heuristic_all_tasks_167891.log,798,1.0,1.0
heuristic_all_tasks_167891.log,627,1.0,1.0
heuristic_all_tasks_167891.log,624,1.0,1.0
heuristic_all_tasks_167891.log,628,1.0,1.0
heuristic_all_tasks_167891.log,634,1.0,1.0
heuristic_all_tasks_167891.log,1019,1.0,1.0
heuristic_all_tasks_167891.log,626,1.0,1.0
heuristic_all_tasks_167891.log,633,1.0,1.0
heuristic_all_tasks_167891.log,632,1.0,1.0
heuristic_all_tasks_167891.log,629,1.0,1.0
heuristic_all_tasks_167891.log,631,1.0,1.0
heuristic_all_tasks_167891.log,630,1.0,1.0
heuristic_all_tasks_167891.log,625,1.0,1.0
heuristic_all_tasks_167891.log,1024,1.0,1.0
heuristic_all_tasks_167891.log,1026,1.0,1.0
heuristic_all_tasks_167891.log,508,1.0,1.0
heuristic_all_tasks_167891.log,513,1.0,1.0
heuristic_all_tasks_167891.log,1304,0.0,0.5
heuristic_all_tasks_167891.log,507,1.0,1.0
heuristic_all_tasks_167891.log,511,1.0,1.0
heuristic_all_tasks_167891.log,509,1.0,1.0
heuristic_all_tasks_167891.log,506,1.0,1.0
heuristic_all_tasks_167891.log,512,1.0,1.0
heuristic_all_tasks_167891.log,510,1.0,1.0
heuristic_all_tasks_167891.log,504,1.0,1.0
heuristic_all_tasks_167891.log,505,1.0,1.0
heuristic_all_tasks_167891.log,503,1.0,1.0
heuristic_all_tasks_167891.log,567,1.0,1.0
heuristic_all_tasks_167891.log,565,1.0,1.0
heuristic_all_tasks_167891.log,560,1.0,1.0
heuristic_all_tasks_167891.log,563,1.0,1.0
heuristic_all_tasks_167891.log,561,1.0,1.0
heuristic_all_tasks_167891.log,559,1.0,1.0
heuristic_all_tasks_167891.log,564,1.0,1.0
heuristic_all_tasks_167891.log,429,1.0,1.0
heuristic_all_tasks_167891.log,558,1.0,1.0
heuristic_all_tasks_167891.log,568,1.0,1.0
heuristic_all_tasks_167891.log,566,1.0,1.0
heuristic_all_tasks_167891.log,562,1.0,1.0
heuristic_all_tasks_167891.log,743,1.0,1.0
heuristic_all_tasks_167891.log,1130,1.0,1.0
heuristic_all_tasks_167891.log,737,1.0,1.0
heuristic_all_tasks_167891.log,742,1.0,1.0
heuristic_all_tasks_167891.log,734,1.0,1.0
heuristic_all_tasks_167891.log,738,1.0,1.0
heuristic_all_tasks_167891.log,739,1.0,1.0
heuristic_all_tasks_167891.log,1526,0.0,0.6
heuristic_all_tasks_167891.log,744,1.0,1.0
heuristic_all_tasks_167891.log,735,1.0,1.0
heuristic_all_tasks_167891.log,1131,1.0,1.0
heuristic_all_tasks_167891.log,740,1.0,1.0
heuristic_all_tasks_167891.log,736,1.0,1.0
heuristic_all_tasks_167891.log,741,1.0,1.0
heuristic_all_tasks_167891.log,882,1.0,1.0
heuristic_all_tasks_167891.log,487,1.0,1.0
heuristic_all_tasks_167891.log,490,1.0,1.0
heuristic_all_tasks_167891.log,482,1.0,1.0
heuristic_all_tasks_167891.log,483,1.0,1.0
heuristic_all_tasks_167891.log,484,1.0,1.0
heuristic_all_tasks_167891.log,491,1.0,1.0
heuristic_all_tasks_167891.log,488,1.0,1.0
heuristic_all_tasks_167891.log,485,1.0,1.0
heuristic_all_tasks_167891.log,489,1.0,1.0
heuristic_all_tasks_167891.log,486,1.0,1.0
heuristic_all_tasks_167891.log,481,1.0,1.0
heuristic_all_tasks_167891.log,816,1.0,1.0
heuristic_all_tasks_167891.log,812,0.0,0.0
heuristic_all_tasks_167891.log,1201,0.0,0.5
heuristic_all_tasks_167891.log,814,1.0,1.0
heuristic_all_tasks_167891.log,819,1.0,1.0
heuristic_all_tasks_167891.log,820,0.0,0.5
heuristic_all_tasks_167891.log,813,1.0,1.0
heuristic_all_tasks_167891.log,775,1.0,1.0
heuristic_all_tasks_167891.log,772,1.0,1.0
heuristic_all_tasks_167891.log,771,1.0,1.0
heuristic_all_tasks_167891.log,776,1.0,1.0
heuristic_all_tasks_167891.log,1562,1.0,1.0
heuristic_all_tasks_167891.log,773,1.0,1.0
heuristic_all_tasks_167891.log,1949,1.0,1.0
heuristic_all_tasks_167891.log,774,1.0,1.0
heuristic_all_tasks_167891.log,770,1.0,1.0
heuristic_all_tasks_167891.log,1950,1.0,1.0
heuristic_all_tasks_167891.log,768,1.0,1.0
heuristic_all_tasks_167891.log,769,1.0,1.0
heuristic_all_tasks_167891.log,767,1.0,1.0
heuristic_all_tasks_167891.log,569,1.0,1.0
heuristic_all_tasks_167891.log,969,1.0,1.0
heuristic_all_tasks_167891.log,573,1.0,1.0
heuristic_all_tasks_167891.log,577,1.0,1.0
heuristic_all_tasks_167891.log,579,1.0,1.0
heuristic_all_tasks_167891.log,574,1.0,1.0
heuristic_all_tasks_167891.log,575,1.0,1.0
heuristic_all_tasks_167891.log,576,1.0,1.0
heuristic_all_tasks_167891.log,570,1.0,1.0
heuristic_all_tasks_167891.log,578,1.0,1.0
heuristic_all_tasks_167891.log,572,1.0,1.0
heuristic_all_tasks_167891.log,693,1.0,1.0
heuristic_all_tasks_167891.log,696,1.0,1.0
heuristic_all_tasks_167891.log,1091,1.0,1.0
heuristic_all_tasks_167891.log,692,0.0,0.6
heuristic_all_tasks_167891.log,698,1.0,1.0
heuristic_all_tasks_167891.log,695,1.0,1.0
heuristic_all_tasks_167891.log,690,1.0,1.0
heuristic_all_tasks_167891.log,697,1.0,1.0
heuristic_all_tasks_167891.log,700,1.0,1.0
heuristic_all_tasks_167891.log,617,1.0,1.0
heuristic_all_tasks_167891.log,1012,1.0,1.0
heuristic_all_tasks_167891.log,619,1.0,1.0
heuristic_all_tasks_167891.log,615,1.0,1.0
heuristic_all_tasks_167891.log,622,1.0,1.0
heuristic_all_tasks_167891.log,616,1.0,1.0
heuristic_all_tasks_167891.log,618,1.0,1.0
heuristic_all_tasks_167891.log,623,1.0,1.0
heuristic_all_tasks_167891.log,613,1.0,1.0
heuristic_all_tasks_167891.log,614,1.0,1.0
heuristic_all_tasks_167891.log,620,1.0,1.0
heuristic_all_tasks_167891.log,621,1.0,1.0
heuristic_all_tasks_167891.log,665,1.0,1.0
heuristic_all_tasks_167891.log,659,1.0,1.0
heuristic_all_tasks_167891.log,1052,1.0,1.0
heuristic_all_tasks_167891.log,662,1.0,1.0
heuristic_all_tasks_167891.log,666,1.0,1.0
heuristic_all_tasks_167891.log,663,1.0,1.0
heuristic_all_tasks_167891.log,667,1.0,1.0
heuristic_all_tasks_167891.log,661,1.0,1.0
heuristic_all_tasks_167891.log,657,1.0,1.0
heuristic_all_tasks_167891.log,658,1.0,1.0
heuristic_all_tasks_167891.log,660,1.0,1.0
heuristic_all_tasks_167891.log,516,1.0,1.0
heuristic_all_tasks_167891.log,520,1.0,1.0
heuristic_all_tasks_167891.log,518,1.0,1.0
heuristic_all_tasks_167891.log,521,1.0,1.0
heuristic_all_tasks_167891.log,519,1.0,1.0
heuristic_all_tasks_167891.log,515,1.0,1.0
heuristic_all_tasks_167891.log,517,1.0,1.0
heuristic_all_tasks_167891.log,514,1.0,1.0
heuristic_all_tasks_167891.log,522,1.0,1.0
heuristic_all_tasks_167891.log,524,1.0,1.0
heuristic_all_tasks_167891.log,523,1.0,1.0
heuristic_all_tasks_167891.log,780,1.0,1.0
heuristic_all_tasks_167891.log,778,1.0,1.0
heuristic_all_tasks_167891.log,784,1.0,1.0
heuristic_all_tasks_167891.log,782,1.0,1.0
heuristic_all_tasks_167891.log,779,1.0,1.0
heuristic_all_tasks_167891.log,781,1.0,1.0
heuristic_all_tasks_167891.log,787,1.0,1.0
heuristic_all_tasks_167891.log,785,1.0,1.0
heuristic_all_tasks_167891.log,788,1.0,1.0
heuristic_all_tasks_167891.log,783,1.0,1.0
heuristic_all_tasks_167891.log,786,1.0,1.0
heuristic_all_tasks_167891.log,538,1.0,1.0
heuristic_all_tasks_167891.log,539,1.0,1.0
heuristic_all_tasks_167891.log,540,1.0,1.0
heuristic_all_tasks_167891.log,544,1.0,1.0
heuristic_all_tasks_167891.log,541,1.0,1.0
heuristic_all_tasks_167891.log,545,1.0,1.0
heuristic_all_tasks_167891.log,536,1.0,1.0
heuristic_all_tasks_167891.log,546,1.0,1.0
heuristic_all_tasks_167891.log,537,1.0,1.0
heuristic_all_tasks_167891.log,707,1.0,1.0
heuristic_all_tasks_167891.log,701,1.0,1.0
heuristic_all_tasks_167891.log,703,1.0,1.0
heuristic_all_tasks_167891.log,704,1.0,1.0
heuristic_all_tasks_167891.log,711,1.0,1.0
heuristic_all_tasks_167891.log,710,1.0,1.0
heuristic_all_tasks_167891.log,709,1.0,1.0
heuristic_all_tasks_167891.log,708,1.0,1.0
heuristic_all_tasks_167891.log,706,1.0,1.0
heuristic_all_tasks_167891.log,702,1.0,1.0
heuristic_all_tasks_167891.log,705,1.0,1.0
heuristic_all_tasks_167891.log,474,1.0,1.0
heuristic_all_tasks_167891.log,470,1.0,1.0
heuristic_all_tasks_167891.log,478,1.0,1.0
heuristic_all_tasks_167891.log,476,1.0,1.0
heuristic_all_tasks_167891.log,480,1.0,1.0
heuristic_all_tasks_167891.log,475,0.0,0.0
heuristic_all_tasks_167891.log,473,1.0,1.0
heuristic_all_tasks_167891.log,477,1.0,1.0
heuristic_all_tasks_167891.log,479,1.0,1.0
heuristic_all_tasks_167891.log,471,1.0,1.0
heuristic_all_tasks_167891.log,472,1.0,1.0
heuristic_all_tasks_167891.log,501,1.0,1.0
heuristic_all_tasks_167891.log,894,0.0,0.75
heuristic_all_tasks_167891.log,495,1.0,1.0
heuristic_all_tasks_167891.log,1691,1.0,1.0
heuristic_all_tasks_167891.log,1692,1.0,1.0
heuristic_all_tasks_167891.log,498,1.0,1.0
heuristic_all_tasks_167891.log,1690,1.0,1.0
heuristic_all_tasks_167891.log,500,1.0,1.0
heuristic_all_tasks_167891.log,895,0.0,0.75
heuristic_all_tasks_167891.log,728,1.0,1.0
heuristic_all_tasks_167891.log,726,1.0,1.0
heuristic_all_tasks_167891.log,732,1.0,1.0
heuristic_all_tasks_167891.log,1115,1.0,1.0
heuristic_all_tasks_167891.log,725,1.0,1.0
heuristic_all_tasks_167891.log,724,1.0,1.0
heuristic_all_tasks_167891.log,727,1.0,1.0
heuristic_all_tasks_167891.log,733,1.0,1.0
heuristic_all_tasks_167891.log,723,1.0,1.0
heuristic_all_tasks_167891.log,730,1.0,1.0
heuristic_all_tasks_167891.log,731,1.0,1.0
heuristic_all_tasks_167891.log,729,1.0,1.0
heuristic_all_tasks_167891.log,608,1.0,1.0
heuristic_all_tasks_167891.log,611,1.0,1.0
heuristic_all_tasks_167891.log,607,1.0,1.0
heuristic_all_tasks_167891.log,610,1.0,1.0
heuristic_all_tasks_167891.log,604,1.0,1.0
heuristic_all_tasks_167891.log,1000,1.0,1.0
heuristic_all_tasks_167891.log,606,1.0,1.0
heuristic_all_tasks_167891.log,612,1.0,1.0
heuristic_all_tasks_167891.log,602,1.0,1.0
heuristic_all_tasks_167891.log,605,1.0,1.0
heuristic_all_tasks_167891.log,603,1.0,1.0
heuristic_all_tasks_167891.log,1002,1.0,1.0
heuristic_all_tasks_167891.log,722,0.0,0.333
heuristic_all_tasks_167891.log,721,0.0,0.5
heuristic_all_tasks_167891.log,717,0.0,0.5
heuristic_all_tasks_167891.log,1109,0.0,0.25
heuristic_all_tasks_167891.log,714,0.0,0.5
heuristic_all_tasks_167891.log,719,1.0,1.0
heuristic_all_tasks_167891.log,715,0.0,0.5
heuristic_all_tasks_167891.log,716,0.0,0.333
heuristic_all_tasks_167891.log,720,0.0,0.5
heuristic_all_tasks_167891.log,713,1.0,1.0
heuristic_all_tasks_167891.log,718,0.0,0.5
heuristic_all_tasks_167891.log,712,0.0,0.5
heuristic_all_tasks_167891.log,1864,1.0,1.0
heuristic_all_tasks_167891.log,680,1.0,1.0
heuristic_all_tasks_167891.log,689,1.0,1.0
heuristic_all_tasks_167891.log,682,1.0,1.0
heuristic_all_tasks_167891.log,687,1.0,1.0
heuristic_all_tasks_167891.log,679,1.0,1.0
heuristic_all_tasks_167891.log,681,1.0,1.0
heuristic_all_tasks_167891.log,688,1.0,1.0
