log,sha256,n_episodes,success_sum,success_mean,pc_mean,memory
heuristic_all_tasks_167891.log,b76737c550d3ca0e04775cbe8ab52ee3ae405ced9fe1c4949819981a50ccf21f,784,674.0,0.8597,0.9469,
memento_hr_mem_h_167958.log,36d8e7aaa7c8cc06eaba3415d93ce358272ecac570fb6a7183e779a02f55d02a,55,16.0,0.2909,0.6522,1
memento_hr_mem_r_167959.log,4622584dec0dcb3625a9ca624c78b5449a5a43fd9ac119c3280480df8f7f190f,14,6.0,0.4286,0.6964,1
memento_hr_mem_rhs_167960.log,69b4c8a97165f6fc1ac65f9427f55a5307b3dd57b2bf7b6527fe0833a30178db,15,2.0,0.1333,0.6023,3
memento_rhst_mem_h_167962.log,54a5cbcf47c2f740313890fece73d20eaae28b65f051ba7694ac72dc0ce62407,5,1.0,0.2,0.6428,1
memento_rhst_mem_h_168124.log,5668d336e5e01b82d2b7b94074b3fcb0bdf2de293176f80ff188d9a9c46bdbf3,4,1.0,0.25,0.4943,1
memento_rhst_mem_r_167963.log,bab588ffe08305355dedb31b16384046c8905ccd93aab7d543a3c869eccb1c08,4,0.0,0.0,0.4522,1
memento_rhst_mem_r_168123.log,056718fbf5468c9a3aad4fa1f4f111a046e6df8f6433289722600f5f3cd26374,4,1.0,0.25,0.6072,1
memento_rhst_mem_rhst_167964.log,aa4f3b63642b27b0e2ff42dcdee314f704a88bd2562b2b5a6672dbdf7412eafd,4,1.0,0.25,0.6102,4
memento_rhst_mem_rhst_168127.log,0c1d513f5f935bfb90dd68a9bff456dfaa5a11e0dfc0e0d1d6a69ddbc7a89292,4,1.0,0.25,0.6488,4
memento_rhst_mem_s_167965.log,5ce52e284b9b43e52aab855df6107c95b47cc102dfdc8b0050add219b2ea20b3,5,1.0,0.2,0.5976,1
memento_rhst_mem_s_168125.log,573f1782e3dab4dcb2fda52a658d0fc7b5b94b2c5ac5061b519abc2f8bbdf74b,4,1.0,0.25,0.4763,1
memento_rhst_mem_t_167966.log,904428356fc60cda97185ce3682a9cd33735e43e00acd85a37c3f30dc19eb2ec,4,1.0,0.25,0.5655,1
memento_rhst_mem_t_168126.log,af8bae6ea1b04992171035819cd3f1105e72cc0d709527fc51916a29f75e18a7,5,1.0,0.2,0.5142,1
memento_rht_mem_h_167967.log,a3269c2d5d5abfa5762bd87b33cd11d1a67bab580df5597cfe640b99779c64bc,68,18.0,0.2647,0.5504,1
memento_rht_mem_h_168094.log,2e291f0a4942c41ce6ffd8ce95f0220a7c0e8a2d836749a3d640195655679b92,11,0.0,0.0,0.4025,1
memento_rht_mem_r_167968.log,00bdb7a9063c9a1009358963d0ade0cffc0051aa0d2e56cb6ee54a4c60acf6b7,26,8.0,0.3077,0.5922,1
memento_rht_mem_r_168093.log,75251f54f47bdf5a1aedbd18c3bc49f86856a7a6f4adec6e23c35ad3fdeff926,11,1.0,0.0909,0.4933,1
memento_rht_mem_rht_167969.log,8a57133707727dbc7c947c3e781ad32c675af3172812abace0fb885ff7c1b0c1,40,7.0,0.175,0.5756,3
memento_rht_mem_rht_168096.log,79b448b5cc3a9693879276831809d65e249cef0c00ecf18fd7d5e57160470da1,11,1.0,0.0909,0.4141,3
memento_rht_mem_t_167970.log,1cd7c7b1ffead1db685184bb8e0d8900377aa87a4f85d7966464b922597f595c,61,9.0,0.1475,0.5655,1
memento_rht_mem_t_168095.log,3d3e89b2aec9cf0e004ad53457c0ec2e8b342246958905d956705a29ba7d8a5c,10,0.0,0.0,0.4193,1
memento_rs_mem_r_167971.log,05b6ec478066eb2db1869c4051b4cbcc7ca8383ab099cc2ccae180653bd15d3f,6,6.0,1.0,1.0,1
memento_rs_mem_r_168086.log,30aad971fdc805bef8913a1de111f73505f6eef47012216cd60ab7c28cd15c9b,74,56.0,0.7568,0.7918,1
memento_rs_mem_rs_167972.log,badf194550d056c0a8c215eb2288f954fd27f7ba6000e57b8ab2fdfe705838f6,6,5.0,0.8333,0.9445,2
memento_rs_mem_rs_168088.log,eac847915584176cb86d69faf409eebf939510c1de8751db47c0339a0539ce4b,76,58.0,0.7632,0.8142,2
memento_rs_mem_s_167973.log,d124a7d8c0286d71ab342227389397db3b4ec07eecc31be0e1184fae081ca85a,25,21.0,0.84,0.9295,1
memento_rs_mem_s_168087.log,99cd668c28b1af67102379c55e163b011ff00abd3a456e457acf22943f0e38fc,74,57.0,0.7703,0.8539,1
ours_hr_mem_h_167956.log,f6f70f7b90949e19ababddaf6cdf8883eb4082b68dac8e1a07f94d5be914b327,12,0.0,0.0,0.4056,data/hierarchical_skill_memory/hierarchical_heterogeneous_rerange/
ours_hr_mem_h_168238.log,8b91390e9cb4a988ea96e55cd457527683b31e99da55f8e310fe6cfcc058b731,11,4.0,0.3636,0.5617,data/hierarchical_skill_memory/hierarchical_heterogeneous_rerange/
ours_hr_mem_r_167954.log,51070221c0ea0c5f7e57a4f05184a054a965f35aacd5672974844662045157a1,9,2.0,0.2222,0.6574,data/hierarchical_skill_memory/hierarchical_rerange_only/
ours_hr_mem_r_168239.log,d6270e995062688692a2cb57be14e283392496149451e239f1fffafa3d4dd5a6,14,1.0,0.0714,0.4983,data/hierarchical_skill_memory/hierarchical_rerange_only/
ours_hr_mem_s_167939.log,db8ae4462648f1a1477a12b1d92b046366e64def1051cae06e5d2c8116fff9fb,50,5.0,0.1,0.4741,data/hierarchical_skill_memory/hierarchical_spatial_only/
ours_hr_mem_s_168240.log,a39fd7aae6a260de2e76dde794415b26a73bd8439d784a7b6527dee5dcd44840,25,2.0,0.08,0.5289,data/hierarchical_skill_memory/hierarchical_spatial_only/
ours_hrst_mem_h_167931.log,9ff1e725b4d0c03e58cff417338ad715a6a7162c7e51a388e807a14025bf9846,5,1.0,0.2,0.488,data/hierarchical_skill_memory/hierarchical_heterogeneous_rerange/
ours_hrst_mem_h_167950.log,f5eddd05db7aefa4b0fbf09407386b3f38fefca315d9d73ed584f3e2889b8f61,5,1.0,0.2,0.3524,data/hierarchical_skill_memory/hierarchical_heterogeneous_rerange/
