model,split,baseline,convention,ours_only,baseline_only,p_exact,winner,flip_any_convention
72B,id,tom,reported_mixed,698,0,1.52e-210,ours,False
72B,id,tom,json_tolerant,698,0,1.52e-210,ours,False
72B,id,tom,official_strict,698,0,1.52e-210,ours,False
72B,id,zero_shot,reported_mixed,695,0,1.22e-209,ours,False
72B,id,zero_shot,json_tolerant,695,0,1.22e-209,ours,False
72B,id,zero_shot,official_strict,695,0,1.22e-209,ours,False
72B,id,trajectory_rag,reported_mixed,684,25,5.98e-168,ours,False
72B,id,trajectory_rag,json_tolerant,684,25,5.98e-168,ours,False
72B,id,trajectory_rag,official_strict,703,1,1.68e-209,ours,False
72B,id,g_memory,reported_mixed,352,102,2.99e-33,ours,False
72B,id,g_memory,json_tolerant,352,102,2.99e-33,ours,False
72B,id,g_memory,official_strict,630,0,4.49e-190,ours,False
72B,id,memento_style,reported_mixed,568,31,7.09e-129,ours,False
72B,id,memento_style,json_tolerant,568,31,7.09e-129,ours,False
72B,id,memento_style,official_strict,568,31,7.09e-129,ours,False
72B,ood_single_family,tom,reported_mixed,478,2,7.4e-140,ours,False
72B,ood_single_family,tom,json_tolerant,478,2,7.4e-140,ours,False
72B,ood_single_family,tom,official_strict,478,2,7.4e-140,ours,False
72B,ood_single_family,zero_shot,reported_mixed,469,0,1.31e-141,ours,False
72B,ood_single_family,zero_shot,json_tolerant,469,0,1.31e-141,ours,False
72B,ood_single_family,zero_shot,official_strict,469,0,1.31e-141,ours,False
72B,ood_single_family,trajectory_rag,reported_mixed,482,11,7.49e-127,ours,False
72B,ood_single_family,trajectory_rag,json_tolerant,482,11,7.49e-127,ours,False
72B,ood_single_family,trajectory_rag,official_strict,484,2,1.18e-141,ours,False
72B,ood_single_family,g_memory,reported_mixed,358,49,4.2e-59,ours,False
72B,ood_single_family,g_memory,json_tolerant,358,49,4.2e-59,ours,False
72B,ood_single_family,g_memory,official_strict,410,0,7.56e-124,ours,False
72B,ood_single_family,memento_style,reported_mixed,455,12,1.05e-117,ours,False
72B,ood_single_family,memento_style,json_tolerant,455,12,1.05e-117,ours,False
72B,ood_single_family,memento_style,official_strict,455,12,1.05e-117,ours,False
72B,pure_text,tom,reported_mixed,255,0,3.45e-77,ours,False
72B,pure_text,tom,json_tolerant,255,0,3.45e-77,ours,False
72B,pure_text,tom,official_strict,255,0,3.45e-77,ours,False
72B,pure_text,zero_shot,reported_mixed,255,0,3.45e-77,ours,False
72B,pure_text,zero_shot,json_tolerant,255,0,3.45e-77,ours,False
72B,pure_text,zero_shot,official_strict,255,0,3.45e-77,ours,False
72B,pure_text,trajectory_rag,reported_mixed,256,0,1.73e-77,ours,False
72B,pure_text,trajectory_rag,json_tolerant,256,0,1.73e-77,ours,False
72B,pure_text,trajectory_rag,official_strict,256,0,1.73e-77,ours,False
72B,pure_text,g_memory,reported_mixed,246,0,1.77e-74,ours,False
72B,pure_text,g_memory,json_tolerant,246,0,1.77e-74,ours,False
72B,pure_text,g_memory,official_strict,256,0,1.73e-77,ours,False
72B,pure_text,memento_style,reported_mixed,232,6,1.1e-60,ours,False
72B,pure_text,memento_style,json_tolerant,232,6,1.1e-60,ours,False
72B,pure_text,memento_style,official_strict,232,6,1.1e-60,ours,False
72B,cg_image,tom,reported_mixed,237,0,9.06e-72,ours,False
72B,cg_image,tom,json_tolerant,237,0,9.06e-72,ours,False
72B,cg_image,tom,official_strict,237,0,9.06e-72,ours,False
72B,cg_image,zero_shot,reported_mixed,237,0,9.06e-72,ours,False
72B,cg_image,zero_shot,json_tolerant,237,0,9.06e-72,ours,False
72B,cg_image,zero_shot,official_strict,237,0,9.06e-72,ours,False
72B,cg_image,trajectory_rag,reported_mixed,235,0,3.62e-71,ours,False
72B,cg_image,trajectory_rag,json_tolerant,235,0,3.62e-71,ours,False
72B,cg_image,trajectory_rag,official_strict,237,0,9.06e-72,ours,False
72B,cg_image,g_memory,reported_mixed,225,2,2.4e-64,ours,False
72B,cg_image,g_memory,json_tolerant,225,2,2.4e-64,ours,False
72B,cg_image,g_memory,official_strict,237,0,9.06e-72,ours,False
72B,cg_image,memento_style,reported_mixed,233,1,1.7e-68,ours,False
72B,cg_image,memento_style,json_tolerant,233,1,1.7e-68,ours,False
72B,cg_image,memento_style,official_strict,233,1,1.7e-68,ours,False
30B,id,tom,reported_mixed,528,0,2.28e-159,ours,False
30B,id,tom,json_tolerant,528,0,2.28e-159,ours,False
30B,id,tom,official_strict,528,0,2.28e-159,ours,False
30B,id,zero_shot,reported_mixed,526,0,9.1e-159,ours,False
30B,id,zero_shot,json_tolerant,526,0,9.1e-159,ours,False
30B,id,zero_shot,official_strict,526,0,9.1e-159,ours,False
30B,id,trajectory_rag,reported_mixed,470,16,3.74e-117,ours,False
30B,id,trajectory_rag,json_tolerant,470,16,3.74e-117,ours,False
30B,id,trajectory_rag,official_strict,470,16,3.74e-117,ours,False
30B,id,g_memory,reported_mixed,428,39,7.02e-84,ours,False
30B,id,g_memory,json_tolerant,428,39,7.02e-84,ours,False
