episode_id,fold,seed,cond,status,success,completion,conflict,failpick,selfconf,selfconf_literal,notclose,actions
444,A,0,both,ok,0.0,0.16666666666666666,0,0,0,2,1,38
450,A,0,both,ok,0.0,0.23076923076923078,0,9,0,12,12,88
451,A,0,both,ok,0.0,0.0,1,1,0,8,0,74
456,A,0,both,ok,0.0,0.6,0,8,0,9,8,80
1621,A,0,both,ok,0.0,0.4,0,9,0,9,12,78
1622,A,0,both,ok,1.0,1.0,0,2,0,12,5,88
1646,A,0,both,ok,1.0,1.0,0,2,0,6,1,61
1655,A,0,both,ok,0.0,0.8,0,5,0,6,5,65
1656,A,0,both,ok,0.0,0.8,0,1,0,9,6,52
1663,A,0,both,ok,0.0,0.0,0,18,0,0,18,102
1674,A,0,both,ok,0.0,0.25,0,3,0,7,3,75
1683,A,0,both,ok,1.0,1.0,0,0,0,3,0,75
1687,A,0,both,ok,0.0,0.4,0,16,1,17,19,89
1697,A,0,both,ok,0.0,0.2,0,5,1,10,10,95
1701,A,0,both,ok,1.0,1.0,0,7,3,16,7,73
1704,A,0,both,ok,0.0,0.5,0,0,0,10,4,50
1716,A,0,both,ok,0.0,0.75,0,8,0,21,6,83
1718,A,0,both,ok,0.0,0.5,0,16,0,3,15,84
1719,A,0,both,ok,0.0,0.5,0,3,0,5,5,60
1723,A,0,both,ok,0.0,0.25,0,1,0,2,0,75
1731,A,0,both,ok,1.0,1.0,0,2,0,3,3,56
1733,A,0,both,ok,0.0,0.3333333333333333,0,5,0,8,13,69
1734,A,0,both,ok,1.0,1.0,0,0,0,5,4,62
1744,A,0,both,ok,1.0,1.0,0,7,0,12,14,91
1750,A,0,both,ok,1.0,1.0,0,6,2,6,5,60
1751,A,0,both,ok,0.0,0.75,0,8,0,18,17,82
1756,A,0,both,ok,1.0,1.0,0,7,1,9,8,69
1760,A,0,both,ok,0.0,0.25,0,4,2,8,4,50
1761,A,0,both,ok,0.0,0.8333333333333334,0,3,1,12,8,81
1762,A,0,both,ok,1.0,1.0,0,13,0,8,13,85
1773,A,0,both,ok,0.0,0.8,0,2,0,10,3,85
1777,A,0,both,ok,0.0,0.42857142857142855,0,14,1,13,17,91
