index,task_id,P_response,P_official,P_json_tolerant,GMemory_official,GMemory_json_tolerant,zero_shot_official,zero_shot_json_tolerant,ours_SOLVED
0,1044_8-2,runs/imaged/incontext_library.jsonl#index=0,0,0,0,0,0,0,1
1,4363_8-1,runs/imaged/incontext_library.jsonl#index=1,0,0,0,0,0,0,1
2,3035_8-2,runs/imaged/incontext_library.jsonl#index=2,0,0,0,0,0,0,1
3,4554_9-1,runs/imaged/incontext_library.jsonl#index=3,0,0,0,0,0,0,1
4,4168_9-1,runs/imaged/incontext_library.jsonl#index=4,0,0,0,0,0,0,1
5,2018_8-2,runs/imaged/incontext_library.jsonl#index=5,0,0,0,0,0,0,0
6,7543_9-1,runs/imaged/incontext_library.jsonl#index=6,0,0,0,0,0,0,1
7,1943_9-1,runs/imaged/incontext_library.jsonl#index=7,0,0,0,0,0,0,1
8,5937_9-1,runs/imaged/incontext_library.jsonl#index=8,0,0,0,0,0,0,1
9,3173_8-2,runs/imaged/incontext_library.jsonl#index=9,0,0,0,0,0,0,1
10,4307_8-1,runs/imaged/incontext_library.jsonl#index=10,0,0,0,0,0,0,1
11,1292_9-1,runs/imaged/incontext_library.jsonl#index=11,0,0,0,0,0,0,1
12,3800_9-1,runs/imaged/incontext_library.jsonl#index=12,0,0,0,0,0,0,1
13,1468_9-1,runs/imaged/incontext_library.jsonl#index=13,0,0,0,0,0,0,1
14,1782_8-2,runs/imaged/incontext_library.jsonl#index=14,0,0,0,0,0,0,1
15,4438_8-2,runs/imaged/incontext_library.jsonl#index=15,0,0,0,0,0,0,1
16,6277_9-1,runs/imaged/incontext_library.jsonl#index=16,0,0,0,0,0,0,1
17,5845_8-1,runs/imaged/incontext_library.jsonl#index=17,0,0,0,0,0,0,1
18,5501_8-1,runs/imaged/incontext_library.jsonl#index=18,0,0,0,0,0,0,1
19,1850_8-1,runs/imaged/incontext_library.jsonl#index=19,0,0,0,0,0,0,1
20,5900_8-2,runs/imaged/incontext_library.jsonl#index=20,0,0,0,0,0,0,1
21,3071_8-2,runs/imaged/incontext_library.jsonl#index=21,0,0,0,0,0,0,1
