index,task_name,robot_count
8,sequential_pick_two_and_place,1
12,single_move_asset_to_target,1
29,wash_fruit_and_serve,1
30,dog_check_environment,1
32,single_move_asset_to_target,1
35,single_move_asset_to_target,1
39,cut_two_fruits_on_board,2
44,ensure_all_fruits_on_table,1
46,dog_check_environment,1
48,cut_fruit_on_board,2
50,clear_table_with_two_robots_and_put_in_cabinet,2
51,single_move_asset_to_target,1
69,serve_bread_from_counter,1
76,ensure_all_fruits_on_table,1
79,dog_check_environment,1
80,serve_bread_after_checking_cabinet,1
91,single_move_asset_to_target,1
93,dog_check_environment,1
94,set_plate_and_fork_on_table,2
96,set_plate_and_fork_on_table,2
97,clear_table_with_two_robots_and_put_in_cabinet,2
103,cut_two_fruits_on_board,2
114,wash_fruit_and_serve,1
121,ensure_all_fruits_on_table,2
139,ensure_all_fruits_on_table,1
142,cut_two_fruits_on_board,2
147,toast_bread_and_set_plate,2
150,serve_bread_from_counter,1
154,single_move_asset_to_target,1
155,cut_fruit_on_board,2
159,serve_bread_from_counter,1
160,ensure_all_fruits_on_table,1
161,ensure_all_fruits_on_table,1
162,single_move_asset_to_target,1
166,clear_table_with_two_robots_and_put_in_cabinet,2
179,toast_bread_and_set_plate,2
187,serve_bread_from_counter,1
190,cut_fruit_on_board,2
199,cut_two_fruits_on_board,2
202,ensure_all_fruits_on_table,1
207,toast_bread_and_set_plate,2
209,clear_table_with_two_robots_and_put_in_cabinet,2
216,ensure_all_fruits_on_table,2
218,set_plate_and_fork_on_table,2
224,clear_table_with_two_robots_and_put_in_cabinet,2
227,toast_bread_and_set_plate,2
236,set_plate_and_fork_on_table,2
237,parallel_human_dual_asset_to_plate_or_bowl,2
244,serve_bread_after_checking_cabinet,1
246,single_move_asset_to_target,1
257,single_move_asset_to_target,1
259,dog_check_environment,1
261,parallel_human_dual_asset_to_plate_or_bowl,2
262,single_move_asset_to_target,1
267,parallel_human_dual_asset_to_plate_or_bowl,2
268,single_move_asset_to_target,1
272,set_plate_and_fork_on_table,2
278,toast_bread_and_set_plate,2
279,parallel_human_dual_asset_to_plate_or_bowl,2
281,wash_fruit_and_serve,1
283,cut_two_fruits_on_board,2
285,sequential_pick_two_and_place,1
291,serve_bread_after_checking_cabinet,1
294,ensure_all_fruits_on_table,1
296,cut_fruit_on_board,2
297,parallel_human_dual_asset_to_plate_or_bowl,2
310,serve_bread_after_checking_cabinet,1
320,ensure_all_fruits_on_table,1
334,set_plate_and_fork_on_table,2
347,cut_fruit_on_board,2
355,single_move_asset_to_target,1
363,wash_fruit_and_serve,1
364,parallel_human_dual_asset_to_plate_or_bowl,2
367,cut_two_fruits_on_board,2
368,set_plate_and_fork_on_table,2
370,serve_bread_from_counter,1
392,set_plate_and_fork_on_table,2
395,parallel_human_dual_asset_to_plate_or_bowl,2
402,toast_bread_and_set_plate,2
411,serve_bread_from_counter,1
414,single_move_asset_to_target,1
415,serve_bread_after_checking_cabinet,1
431,ensure_all_fruits_on_table,1
434,ensure_all_fruits_on_table,2
435,serve_bread_from_counter,1
439,cut_two_fruits_on_board,2
444,single_move_asset_to_target,1
454,set_plate_and_fork_on_table,2
459,parallel_human_dual_asset_to_plate_or_bowl,2
464,sequential_pick_two_and_place,1
466,parallel_human_dual_asset_to_plate_or_bowl,2
468,ensure_all_fruits_on_table,1
472,parallel_human_dual_asset_to_plate_or_bowl,2
473,ensure_all_fruits_on_table,1
476,cut_two_fruits_on_board,2
481,toast_bread_and_set_plate,2
488,serve_bread_from_counter,1
516,cut_fruit_on_board,2
524,wash_fruit_and_serve,1
525,clear_table_with_two_robots_and_put_in_cabinet,2
531,cut_two_fruits_on_board,2
532,ensure_all_fruits_on_table,2
538,wash_fruit_and_serve,1
546,ensure_all_fruits_on_table,2
552,cut_two_fruits_on_board,2
558,serve_bread_after_checking_cabinet,1
560,single_move_asset_to_target,1
561,set_plate_and_fork_on_table,2
575,sequential_pick_two_and_place,1
576,parallel_human_dual_asset_to_plate_or_bowl,2
594,clear_table_with_two_robots_and_put_in_cabinet,2
605,toast_bread_and_set_plate,2
606,wash_fruit_and_serve,1
621,cut_fruit_on_board,2
640,clear_table_with_two_robots_and_put_in_cabinet,2
645,cut_two_fruits_on_board,2
647,dog_push_box_for_two_panda_transport,3
649,clear_table_with_two_robots_and_put_in_cabinet,2
662,wash_fruit_and_serve,1
663,cut_fruit_on_board,2
667,ensure_all_fruits_on_table,1
686,sequential_pick_two_and_place,1
689,parallel_human_dual_asset_to_plate_or_bowl,2
702,single_move_asset_to_target,1
705,ensure_all_fruits_on_table,1
714,ensure_all_fruits_on_table,2
718,cut_fruit_on_board,2
719,ensure_all_fruits_on_table,1
724,serve_bread_after_checking_cabinet,1
728,serve_bread_from_counter,1
731,ensure_all_fruits_on_table,2
732,ensure_all_fruits_on_table,1
743,wash_fruit_and_serve,1
747,toast_bread_and_set_plate,2
752,ensure_all_fruits_on_table,1
762,serve_bread_after_checking_cabinet,1
775,parallel_human_dual_asset_to_plate_or_bowl,2
797,cut_fruit_on_board,2
798,dog_check_environment,1
803,clear_table_with_two_robots_and_put_in_cabinet,2
825,ensure_all_fruits_on_table,2
826,cut_fruit_on_board,2
829,wash_fruit_and_serve,1
840,cut_fruit_on_board,2
847,sequential_pick_two_and_place,1
853,toast_bread_and_set_plate,2
854,ensure_all_fruits_on_table,1
876,cut_two_fruits_on_board,2
879,cut_fruit_on_board,2
888,set_plate_and_fork_on_table,2
891,clear_table_with_two_robots_and_put_in_cabinet,2
897,set_plate_and_fork_on_table,2
901,cut_fruit_on_board,2
909,sequential_pick_two_and_place,1
912,clear_table_with_two_robots_and_put_in_cabinet,2
932,dog_push_box_for_two_panda_transport,3
938,serve_bread_from_counter,1
943,clear_table_with_two_robots_and_put_in_cabinet,2
945,wash_fruit_and_serve,1
946,wash_fruit_and_serve,1
953,serve_bread_after_checking_cabinet,1
960,cut_two_fruits_on_board,2
964,cut_two_fruits_on_board,2
965,ensure_all_fruits_on_table,2
975,clear_table_with_two_robots_and_put_in_cabinet,2
986,dog_check_environment,1
989,wash_fruit_and_serve,1
990,wash_fruit_and_serve,1
1003,wash_fruit_and_serve,1
1020,clear_table_with_two_robots_and_put_in_cabinet,2
1027,cut_two_fruits_on_board,2
1030,set_plate_and_fork_on_table,2
1039,cut_fruit_on_board,2
1046,sequential_pick_two_and_place,1
1048,toast_bread_and_set_plate,2
1051,cut_fruit_on_board,2
1065,wash_fruit_and_serve,1
1069,serve_bread_from_counter,1
1072,dog_push_box_for_two_panda_transport,3
1073,single_move_asset_to_target,1
1074,sequential_pick_two_and_place,1
1078,ensure_all_fruits_on_table,1
1081,ensure_all_fruits_on_table,2
1083,serve_bread_after_checking_cabinet,1
1084,wash_fruit_and_serve,1
1107,clear_table_with_two_robots_and_put_in_cabinet,2
1108,clear_table_with_two_robots_and_put_in_cabinet,2
1115,serve_bread_from_counter,1
1117,dog_push_box_for_two_panda_transport,3
1124,set_plate_and_fork_on_table,2
1126,cut_two_fruits_on_board,2
1144,ensure_all_fruits_on_table,1
1146,parallel_human_dual_asset_to_plate_or_bowl,2
1155,cut_two_fruits_on_board,2
1156,parallel_human_dual_asset_to_plate_or_bowl,2
1159,clear_table_with_two_robots_and_put_in_cabinet,2
1160,ensure_all_fruits_on_table,1
1166,single_move_asset_to_target,1
1182,ensure_all_fruits_on_table,1
1184,single_move_asset_to_target,1
1186,single_move_asset_to_target,1
1209,sequential_pick_two_and_place,1
1210,cut_fruit_on_board,2
1213,single_move_asset_to_target,1
1218,parallel_human_dual_asset_to_plate_or_bowl,2
1221,sequential_pick_two_and_place,1
1226,parallel_human_dual_asset_to_plate_or_bowl,2
1227,cut_fruit_on_board,2
1228,cut_fruit_on_board,2
1231,set_plate_and_fork_on_table,2
1238,wash_fruit_and_serve,1
1245,dog_check_environment,1
1246,serve_bread_after_checking_cabinet,1
1251,ensure_all_fruits_on_table,1
1252,toast_bread_and_set_plate,2
1259,single_move_asset_to_target,1
1263,ensure_all_fruits_on_table,2
1266,single_move_asset_to_target,1
1269,wash_fruit_and_serve,1
1272,clear_table_with_two_robots_and_put_in_cabinet,2
1279,wash_fruit_and_serve,1
1281,clear_table_with_two_robots_and_put_in_cabinet,2
1282,parallel_human_dual_asset_to_plate_or_bowl,2
1286,clear_table_with_two_robots_and_put_in_cabinet,2
1299,single_move_asset_to_target,1
1300,toast_bread_and_set_plate,2
1310,single_move_asset_to_target,1
1312,cut_fruit_on_board,2
1313,set_plate_and_fork_on_table,2
1314,set_plate_and_fork_on_table,2
1319,wash_fruit_and_serve,1
1325,cut_two_fruits_on_board,2
1330,ensure_all_fruits_on_table,2
1338,clear_table_with_two_robots_and_put_in_cabinet,2
1343,single_move_asset_to_target,1
1347,serve_bread_after_checking_cabinet,1
1369,wash_fruit_and_serve,1
1393,cut_two_fruits_on_board,2
1400,parallel_human_dual_asset_to_plate_or_bowl,2
1411,cut_fruit_on_board,2
1423,serve_bread_from_counter,1
1424,dog_push_box_for_two_panda_transport,3
1427,single_move_asset_to_target,1
1429,ensure_all_fruits_on_table,2
1434,clear_table_with_two_robots_and_put_in_cabinet,2
1435,wash_fruit_and_serve,1
1437,ensure_all_fruits_on_table,1
1440,clear_table_with_two_robots_and_put_in_cabinet,2
1441,single_move_asset_to_target,1
1442,cut_fruit_on_board,2
1443,cut_fruit_on_board,2
1460,ensure_all_fruits_on_table,2
1468,clear_table_with_two_robots_and_put_in_cabinet,2
1472,single_move_asset_to_target,1
1475,cut_fruit_on_board,2
1482,ensure_all_fruits_on_table,1
1494,serve_bread_from_counter,1
1497,toast_bread_and_set_plate,2
1505,cut_fruit_on_board,2
1516,clear_table_with_two_robots_and_put_in_cabinet,2
1524,sequential_pick_two_and_place,1
1527,dog_push_box_for_two_panda_transport,3
1531,ensure_all_fruits_on_table,1
1532,dog_push_box_for_two_panda_transport,3
1535,ensure_all_fruits_on_table,1
1568,single_move_asset_to_target,1
1570,clear_table_with_two_robots_and_put_in_cabinet,2
1592,sequential_pick_two_and_place,1
1597,serve_bread_after_checking_cabinet,1
1603,single_move_asset_to_target,1
1609,dog_push_box_for_two_panda_transport,3
1616,ensure_all_fruits_on_table,1
1617,cut_two_fruits_on_board,2
1621,single_move_asset_to_target,1
1637,dog_push_box_for_two_panda_transport,3
1646,set_plate_and_fork_on_table,2
1649,single_move_asset_to_target,1
1652,single_move_asset_to_target,1
1657,ensure_all_fruits_on_table,1
1659,single_move_asset_to_target,1
1665,cut_two_fruits_on_board,2
1666,ensure_all_fruits_on_table,2
1685,set_plate_and_fork_on_table,2
1688,ensure_all_fruits_on_table,1
1690,cut_two_fruits_on_board,2
1691,single_move_asset_to_target,1
1698,serve_bread_after_checking_cabinet,1
1705,ensure_all_fruits_on_table,1
1729,ensure_all_fruits_on_table,2
1738,toast_bread_and_set_plate,2
1749,serve_bread_from_counter,1
1757,wash_fruit_and_serve,1
1762,clear_table_with_two_robots_and_put_in_cabinet,2
1770,clear_table_with_two_robots_and_put_in_cabinet,2
1779,single_move_asset_to_target,1
1788,single_move_asset_to_target,1
1789,serve_bread_from_counter,1
1793,wash_fruit_and_serve,1
1797,set_plate_and_fork_on_table,2
1798,clear_table_with_two_robots_and_put_in_cabinet,2
