index,task_name,robot_count
30,dog_check_environment,1
35,single_move_asset_to_target,1
39,cut_two_fruits_on_board,2
46,dog_check_environment,1
48,cut_fruit_on_board,2
51,single_move_asset_to_target,1
93,dog_check_environment,1
94,set_plate_and_fork_on_table,2
96,set_plate_and_fork_on_table,2
97,clear_table_with_two_robots_and_put_in_cabinet,2
114,wash_fruit_and_serve,1
121,ensure_all_fruits_on_table,2
142,cut_two_fruits_on_board,2
154,single_move_asset_to_target,1
159,serve_bread_from_counter,1
179,toast_bread_and_set_plate,2
216,ensure_all_fruits_on_table,2
227,toast_bread_and_set_plate,2
236,set_plate_and_fork_on_table,2
246,single_move_asset_to_target,1
262,single_move_asset_to_target,1
272,set_plate_and_fork_on_table,2
278,toast_bread_and_set_plate,2
279,parallel_human_dual_asset_to_plate_or_bowl,2
283,cut_two_fruits_on_board,2
294,ensure_all_fruits_on_table,1
296,cut_fruit_on_board,2
334,set_plate_and_fork_on_table,2
363,wash_fruit_and_serve,1
367,cut_two_fruits_on_board,2
370,serve_bread_from_counter,1
395,parallel_human_dual_asset_to_plate_or_bowl,2
411,serve_bread_from_counter,1
414,single_move_asset_to_target,1
431,ensure_all_fruits_on_table,1
459,parallel_human_dual_asset_to_plate_or_bowl,2
464,sequential_pick_two_and_place,1
466,parallel_human_dual_asset_to_plate_or_bowl,2
472,parallel_human_dual_asset_to_plate_or_bowl,2
538,wash_fruit_and_serve,1
546,ensure_all_fruits_on_table,2
576,parallel_human_dual_asset_to_plate_or_bowl,2
594,clear_table_with_two_robots_and_put_in_cabinet,2
606,wash_fruit_and_serve,1
647,dog_push_box_for_two_panda_transport,3
649,clear_table_with_two_robots_and_put_in_cabinet,2
662,wash_fruit_and_serve,1
663,cut_fruit_on_board,2
718,cut_fruit_on_board,2
719,ensure_all_fruits_on_table,1
743,wash_fruit_and_serve,1
797,cut_fruit_on_board,2
803,clear_table_with_two_robots_and_put_in_cabinet,2
897,set_plate_and_fork_on_table,2
912,clear_table_with_two_robots_and_put_in_cabinet,2
938,serve_bread_from_counter,1
943,clear_table_with_two_robots_and_put_in_cabinet,2
953,serve_bread_after_checking_cabinet,1
986,dog_check_environment,1
1048,toast_bread_and_set_plate,2
1051,cut_fruit_on_board,2
1069,serve_bread_from_counter,1
1078,ensure_all_fruits_on_table,1
1081,ensure_all_fruits_on_table,2
1107,clear_table_with_two_robots_and_put_in_cabinet,2
1117,dog_push_box_for_two_panda_transport,3
1144,ensure_all_fruits_on_table,1
1166,single_move_asset_to_target,1
1210,cut_fruit_on_board,2
1218,parallel_human_dual_asset_to_plate_or_bowl,2
1221,sequential_pick_two_and_place,1
1228,cut_fruit_on_board,2
1231,set_plate_and_fork_on_table,2
1252,toast_bread_and_set_plate,2
1263,ensure_all_fruits_on_table,2
1266,single_move_asset_to_target,1
1272,clear_table_with_two_robots_and_put_in_cabinet,2
1279,wash_fruit_and_serve,1
1281,clear_table_with_two_robots_and_put_in_cabinet,2
1299,single_move_asset_to_target,1
1300,toast_bread_and_set_plate,2
1325,cut_two_fruits_on_board,2
1330,ensure_all_fruits_on_table,2
1347,serve_bread_after_checking_cabinet,1
1393,cut_two_fruits_on_board,2
1427,single_move_asset_to_target,1
1497,toast_bread_and_set_plate,2
1516,clear_table_with_two_robots_and_put_in_cabinet,2
1524,sequential_pick_two_and_place,1
1531,ensure_all_fruits_on_table,1
1532,dog_push_box_for_two_panda_transport,3
1535,ensure_all_fruits_on_table,1
1592,sequential_pick_two_and_place,1
1637,dog_push_box_for_two_panda_transport,3
1690,cut_two_fruits_on_board,2
1691,single_move_asset_to_target,1
1738,toast_bread_and_set_plate,2
1757,wash_fruit_and_serve,1
1770,clear_table_with_two_robots_and_put_in_cabinet,2
1793,wash_fruit_and_serve,1
