train_index,kind,detail
15,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
54,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
87,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
103,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
143,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
186,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
213,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
224,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
263,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
278,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
292,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
296,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
298,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
304,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
306,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
307,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
331,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
336,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
386,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
392,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
408,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
410,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
419,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
422,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
469,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
475,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
498,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
537,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
543,invalid_extraction,Segment 1 range 2:3 breaks partition at 3
559,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
570,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
575,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
584,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
593,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
597,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
623,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
679,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
694,invalid_extraction,Segment 3 range 7:8 breaks partition at 8
711,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
742,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
763,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
780,invalid_extraction,Segment 1 range 2:3 breaks partition at 3
788,invalid_extraction,Segment 3 range 7:8 breaks partition at 8
792,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
795,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
820,invalid_extraction,Segment 1 range 2:3 breaks partition at 3
831,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
850,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
862,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
893,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
898,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
902,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
906,invalid_extraction,Segment 3 range 7:8 breaks partition at 8
928,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
932,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
948,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
972,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
976,invalid_extraction,Segment 3 range 7:8 breaks partition at 8
994,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
997,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
1007,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
1015,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
1019,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
1031,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
1034,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
1038,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
1058,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
1064,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
1067,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
1080,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
1084,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
1096,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
1101,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
1131,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
1148,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
1151,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
1180,invalid_extraction,Segment 3 range 7:8 breaks partition at 8
1193,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
1196,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
1233,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
1235,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
1238,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
1254,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
1259,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
1266,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
1268,invalid_extraction,Segment 3 range 7:8 breaks partition at 8
1296,invalid_extraction,"Segments stop at 6, plan has 8 timesteps"
1300,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
1319,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
1343,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
1348,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
1363,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
1406,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
1421,invalid_extraction,Segment 2 range 5:6 breaks partition at 6
1440,invalid_extraction,"Segments stop at 7, plan has 8 timesteps"
1447,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
1459,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
1460,invalid_extraction,Segment 1 range 3:4 breaks partition at 4
