probe_split,dataset_split,index,task_name,robot_count,scorer_seed
id,test,29,wash_fruit_and_serve,1,29
id,test,30,dog_check_environment,1,30
id,test,32,single_move_asset_to_target,1,32
id,test,35,single_move_asset_to_target,1,35
id,test,39,cut_two_fruits_on_board,2,39
id,test,44,ensure_all_fruits_on_table,1,44
id,test,46,dog_check_environment,1,46
id,test,50,clear_table_with_two_robots_and_put_in_cabinet,2,50
id,test,51,single_move_asset_to_target,1,51
id,test,69,serve_bread_from_counter,1,69
id,test,79,dog_check_environment,1,79
id,test,80,serve_bread_after_checking_cabinet,1,80
id,test,91,single_move_asset_to_target,1,91
id,test,94,set_plate_and_fork_on_table,2,94
id,test,96,set_plate_and_fork_on_table,2,96
id,test,103,cut_two_fruits_on_board,2,103
id,test,113,dog_check_environment,1,113
id,test,120,toast_bread_and_set_plate,2,120
id,test,138,clear_table_with_two_robots_and_put_in_cabinet,2,138
id,test,140,clear_table_with_two_robots_and_put_in_cabinet,2,140
id,test,145,set_plate_and_fork_on_table,2,145
id,test,153,serve_bread_from_counter,1,153
id,test,157,serve_bread_from_counter,1,157
id,test,158,wash_fruit_and_serve,1,158
id,test,159,serve_bread_from_counter,1,159
id,test,177,toast_bread_and_set_plate,2,177
id,test,184,clear_table_with_two_robots_and_put_in_cabinet,2,184
id,test,187,serve_bread_from_counter,1,187
id,test,196,set_plate_and_fork_on_table,2,196
id,test,199,cut_two_fruits_on_board,2,199
id,test,204,cut_fruit_on_board,2,204
id,test,213,set_plate_and_fork_on_table,2,213
id,test,221,clear_table_with_two_robots_and_put_in_cabinet,2,221
id,test,234,wash_fruit_and_serve,1,234
id,test,241,set_plate_and_fork_on_table,2,241
id,test,243,sequential_pick_two_and_place,1,243
id,test,254,set_plate_and_fork_on_table,2,254
id,test,256,single_move_asset_to_target,1,256
id,test,258,dog_push_box_for_two_panda_transport,3,258
id,test,259,dog_check_environment,1,259
id,test,264,ensure_all_fruits_on_table,1,264
id,test,265,wash_fruit_and_serve,1,265
id,test,269,toast_bread_and_set_plate,2,269
id,test,274,serve_bread_after_checking_cabinet,1,274
id,test,275,cut_fruit_on_board,2,275
id,test,281,wash_fruit_and_serve,1,281
id,test,292,ensure_all_fruits_on_table,1,292
id,test,316,set_plate_and_fork_on_table,2,316
id,test,343,serve_bread_after_checking_cabinet,1,343
id,test,359,toast_bread_and_set_plate,2,359
id,test,360,toast_bread_and_set_plate,2,360
id,test,364,parallel_human_dual_asset_to_plate_or_bowl,2,364
id,test,366,dog_push_box_for_two_panda_transport,3,366
id,test,388,ensure_all_fruits_on_table,1,388
id,test,398,toast_bread_and_set_plate,2,398
id,test,410,clear_table_with_two_robots_and_put_in_cabinet,2,410
id,test,411,serve_bread_from_counter,1,411
id,test,427,ensure_all_fruits_on_table,1,427
id,test,430,cut_fruit_on_board,2,430
id,test,440,clear_table_with_two_robots_and_put_in_cabinet,2,440
id,test,455,serve_bread_after_checking_cabinet,1,455
id,test,460,wash_fruit_and_serve,1,460
id,test,462,cut_two_fruits_on_board,2,462
id,test,464,sequential_pick_two_and_place,1,464
id,test,468,ensure_all_fruits_on_table,1,468
id,test,469,single_move_asset_to_target,1,469
id,test,512,clear_table_with_two_robots_and_put_in_cabinet,2,512
id,test,521,wash_fruit_and_serve,1,521
id,test,528,ensure_all_fruits_on_table,1,528
id,test,542,single_move_asset_to_target,1,542
id,test,553,single_move_asset_to_target,1,553
id,test,555,parallel_human_dual_asset_to_plate_or_bowl,2,555
id,test,556,single_move_asset_to_target,1,556
id,test,571,cut_fruit_on_board,2,571
id,test,589,dog_check_environment,1,589
id,test,600,cut_two_fruits_on_board,2,600
id,test,601,set_plate_and_fork_on_table,2,601
id,test,616,single_move_asset_to_target,1,616
id,test,640,clear_table_with_two_robots_and_put_in_cabinet,2,640
id,test,642,cut_fruit_on_board,2,642
id,test,656,cut_two_fruits_on_board,2,656
id,test,683,toast_bread_and_set_plate,2,683
id,test,696,single_move_asset_to_target,1,696
id,test,708,clear_table_with_two_robots_and_put_in_cabinet,2,708
id,test,721,serve_bread_from_counter,1,721
id,test,725,cut_fruit_on_board,2,725
id,test,736,cut_two_fruits_on_board,2,736
id,test,740,dog_push_box_for_two_panda_transport,3,740
id,test,745,set_plate_and_fork_on_table,2,745
id,test,754,ensure_all_fruits_on_table,1,754
id,test,766,wash_fruit_and_serve,1,766
id,test,788,wash_fruit_and_serve,1,788
id,test,789,cut_fruit_on_board,2,789
id,test,816,clear_table_with_two_robots_and_put_in_cabinet,2,816
id,test,817,sequential_pick_two_and_place,1,817
id,test,820,toast_bread_and_set_plate,2,820
id,test,831,parallel_human_dual_asset_to_plate_or_bowl,2,831
id,test,838,clear_table_with_two_robots_and_put_in_cabinet,2,838
id,test,844,cut_fruit_on_board,2,844
id,test,845,wash_fruit_and_serve,1,845
id,test,866,wash_fruit_and_serve,1,866
id,test,877,single_move_asset_to_target,1,877
id,test,880,dog_check_environment,1,880
id,test,886,clear_table_with_two_robots_and_put_in_cabinet,2,886
id,test,890,cut_fruit_on_board,2,890
id,test,898,serve_bread_after_checking_cabinet,1,898
id,test,901,cut_fruit_on_board,2,901
id,test,932,dog_push_box_for_two_panda_transport,3,932
id,test,934,single_move_asset_to_target,1,934
id,test,935,ensure_all_fruits_on_table,1,935
id,test,942,set_plate_and_fork_on_table,2,942
id,test,949,cut_fruit_on_board,2,949
id,test,954,wash_fruit_and_serve,1,954
id,test,978,wash_fruit_and_serve,1,978
id,test,1009,sequential_pick_two_and_place,1,1009
id,test,1019,toast_bread_and_set_plate,2,1019
id,test,1028,sequential_pick_two_and_place,1,1028
id,test,1037,set_plate_and_fork_on_table,2,1037
id,test,1040,toast_bread_and_set_plate,2,1040
id,test,1054,clear_table_with_two_robots_and_put_in_cabinet,2,1054
id,test,1058,cut_fruit_on_board,2,1058
id,test,1061,parallel_human_dual_asset_to_plate_or_bowl,2,1061
id,test,1062,serve_bread_from_counter,1,1062
id,test,1070,parallel_human_dual_asset_to_plate_or_bowl,2,1070
id,test,1096,clear_table_with_two_robots_and_put_in_cabinet,2,1096
id,test,1097,wash_fruit_and_serve,1,1097
id,test,1133,ensure_all_fruits_on_table,1,1133
id,test,1135,cut_fruit_on_board,2,1135
id,test,1145,wash_fruit_and_serve,1,1145
id,test,1148,ensure_all_fruits_on_table,1,1148
id,test,1155,cut_two_fruits_on_board,2,1155
id,test,1175,ensure_all_fruits_on_table,1,1175
id,test,1197,dog_push_box_for_two_panda_transport,3,1197
id,test,1198,ensure_all_fruits_on_table,1,1198
id,test,1205,clear_table_with_two_robots_and_put_in_cabinet,2,1205
id,test,1208,serve_bread_from_counter,1,1208
id,test,1214,single_move_asset_to_target,1,1214
id,test,1215,single_move_asset_to_target,1,1215
id,test,1225,toast_bread_and_set_plate,2,1225
id,test,1232,cut_two_fruits_on_board,2,1232
id,test,1233,cut_fruit_on_board,2,1233
id,test,1238,wash_fruit_and_serve,1,1238
id,test,1239,serve_bread_after_checking_cabinet,1,1239
id,test,1246,serve_bread_after_checking_cabinet,1,1246
id,test,1250,dog_check_environment,1,1250
id,test,1253,clear_table_with_two_robots_and_put_in_cabinet,2,1253
id,test,1256,single_move_asset_to_target,1,1256
id,test,1268,set_plate_and_fork_on_table,2,1268
id,test,1269,wash_fruit_and_serve,1,1269
id,test,1286,clear_table_with_two_robots_and_put_in_cabinet,2,1286
id,test,1297,wash_fruit_and_serve,1,1297
id,test,1300,toast_bread_and_set_plate,2,1300
id,test,1301,ensure_all_fruits_on_table,1,1301
id,test,1306,dog_push_box_for_two_panda_transport,3,1306
id,test,1312,cut_fruit_on_board,2,1312
id,test,1325,cut_two_fruits_on_board,2,1325
id,test,1334,ensure_all_fruits_on_table,1,1334
id,test,1395,dog_push_box_for_two_panda_transport,3,1395
id,test,1406,cut_fruit_on_board,2,1406
id,test,1407,serve_bread_after_checking_cabinet,1,1407
id,test,1410,cut_fruit_on_board,2,1410
id,test,1412,single_move_asset_to_target,1,1412
id,test,1417,single_move_asset_to_target,1,1417
id,test,1418,ensure_all_fruits_on_table,1,1418
id,test,1420,cut_fruit_on_board,2,1420
id,test,1423,serve_bread_from_counter,1,1423
id,test,1425,dog_push_box_for_two_panda_transport,3,1425
id,test,1454,single_move_asset_to_target,1,1454
id,test,1457,serve_bread_from_counter,1,1457
id,test,1498,wash_fruit_and_serve,1,1498
id,test,1506,ensure_all_fruits_on_table,2,1506
id,test,1508,sequential_pick_two_and_place,1,1508
id,test,1512,toast_bread_and_set_plate,2,1512
id,test,1513,single_move_asset_to_target,1,1513
id,test,1577,dog_check_environment,1,1577
id,test,1583,cut_fruit_on_board,2,1583
id,test,1596,single_move_asset_to_target,1,1596
id,test,1616,ensure_all_fruits_on_table,1,1616
id,test,1625,serve_bread_from_counter,1,1625
id,test,1631,ensure_all_fruits_on_table,2,1631
id,test,1636,sequential_pick_two_and_place,1,1636
id,test,1638,clear_table_with_two_robots_and_put_in_cabinet,2,1638
id,test,1645,sequential_pick_two_and_place,1,1645
id,test,1664,clear_table_with_two_robots_and_put_in_cabinet,2,1664
id,test,1667,serve_bread_after_checking_cabinet,1,1667
id,test,1669,single_move_asset_to_target,1,1669
id,test,1670,set_plate_and_fork_on_table,2,1670
id,test,1677,clear_table_with_two_robots_and_put_in_cabinet,2,1677
id,test,1706,clear_table_with_two_robots_and_put_in_cabinet,2,1706
id,test,1714,ensure_all_fruits_on_table,2,1714
id,test,1725,clear_table_with_two_robots_and_put_in_cabinet,2,1725
id,test,1733,single_move_asset_to_target,1,1733
id,test,1738,toast_bread_and_set_plate,2,1738
id,test,1755,cut_fruit_on_board,2,1755
id,test,1763,parallel_human_dual_asset_to_plate_or_bowl,2,1763
id,test,1764,clear_table_with_two_robots_and_put_in_cabinet,2,1764
id,test,1768,dog_check_environment,1,1768
id,test,1772,cut_two_fruits_on_board,2,1772
id,test,1773,wash_fruit_and_serve,1,1773
id,test,1790,wash_fruit_and_serve,1,1790
ood,val,1,bring_plate_to_table_bowl_already_there,1,1
ood,val,13,bring_plate_and_bowl_to_table,1,13
ood,val,18,bring_plate_to_table_bowl_already_there,1,18
ood,val,29,bring_plate_to_table_bowl_already_there,1,29
ood,val,40,bring_bowl_to_table_plate_already_there,1,40
ood,val,41,bring_plate_and_bowl_to_table,1,41
ood,val,47,bring_bowl_to_table_plate_already_there,1,47
ood,val,49,bring_bowl_to_table_plate_already_there,1,49
ood,val,51,bring_bowl_to_table_plate_already_there,1,51
ood,val,52,bring_plate_and_bowl_to_table,1,52
ood,val,53,bring_plate_and_bowl_to_table,1,53
ood,val,54,bring_plate_and_bowl_to_table,1,54
ood,val,59,bring_plate_and_bowl_to_table,1,59
ood,val,62,bring_plate_and_bowl_to_table,1,62
ood,val,68,bring_bowl_to_table_plate_already_there,1,68
ood,val,71,bring_bowl_to_table_plate_already_there,1,71
ood,val,73,bring_plate_to_table_bowl_already_there,1,73
ood,val,82,bring_plate_to_table_bowl_already_there,1,82
ood,val,84,bring_plate_and_bowl_to_table,1,84
ood,val,85,bring_bowl_to_table_plate_already_there,1,85
ood,val,88,bring_plate_to_table_bowl_already_there,1,88
ood,val,91,bring_plate_to_table_bowl_already_there,1,91
ood,val,93,bring_plate_to_table_bowl_already_there,1,93
ood,val,94,bring_plate_and_bowl_to_table,1,94
ood,val,95,bring_plate_to_table_bowl_already_there,1,95
ood,val,115,bring_plate_to_table_bowl_already_there,1,115
ood,val,118,bring_plate_and_bowl_to_table,1,118
ood,val,122,bring_plate_and_bowl_to_table,1,122
ood,val,133,bring_bowl_to_table_plate_already_there,1,133
ood,val,134,bring_plate_to_table_bowl_already_there,1,134
ood,val,136,bring_plate_to_table_bowl_already_there,1,136
ood,val,138,bring_plate_to_table_bowl_already_there,1,138
ood,val,145,bring_plate_and_bowl_to_table,1,145
ood,val,147,bring_plate_and_bowl_to_table,1,147
ood,val,153,bring_plate_to_table_bowl_already_there,1,153
ood,val,161,bring_plate_to_table_bowl_already_there,1,161
ood,val,177,bring_plate_to_table_bowl_already_there,1,177
ood,val,179,bring_bowl_to_table_plate_already_there,1,179
ood,val,187,bring_plate_to_table_bowl_already_there,1,187
ood,val,193,bring_plate_and_bowl_to_table,1,193
ood,val,197,bring_bowl_to_table_plate_already_there,1,197
ood,val,202,bring_plate_and_bowl_to_table,1,202
ood,val,209,bring_plate_and_bowl_to_table,1,209
ood,val,228,bring_plate_to_table_bowl_already_there,1,228
ood,val,230,bring_bowl_to_table_plate_already_there,1,230
ood,val,234,bring_plate_to_table_bowl_already_there,1,234
ood,val,235,bring_plate_to_table_bowl_already_there,1,235
ood,val,247,bring_bowl_to_table_plate_already_there,1,247
ood,val,250,bring_plate_and_bowl_to_table,1,250
ood,val,257,bring_plate_to_table_bowl_already_there,1,257
ood,val,270,bring_plate_to_table_bowl_already_there,1,270
ood,val,276,bring_plate_and_bowl_to_table,1,276
ood,val,282,bring_bowl_to_table_plate_already_there,1,282
ood,val,291,bring_plate_to_table_bowl_already_there,1,291
ood,val,294,bring_plate_to_table_bowl_already_there,1,294
ood,val,301,bring_plate_to_table_bowl_already_there,1,301
ood,val,304,bring_plate_and_bowl_to_table,1,304
ood,val,318,bring_plate_to_table_bowl_already_there,1,318
ood,val,323,bring_plate_and_bowl_to_table,1,323
ood,val,324,bring_bowl_to_table_plate_already_there,1,324
ood,val,329,bring_bowl_to_table_plate_already_there,1,329
ood,val,334,bring_bowl_to_table_plate_already_there,1,334
ood,val,335,bring_plate_to_table_bowl_already_there,1,335
ood,val,340,bring_plate_and_bowl_to_table,1,340
ood,val,349,bring_plate_to_table_bowl_already_there,1,349
ood,val,352,bring_plate_and_bowl_to_table,1,352
ood,val,370,bring_plate_and_bowl_to_table,1,370
ood,val,393,bring_plate_and_bowl_to_table,1,393
ood,val,395,bring_plate_to_table_bowl_already_there,1,395
ood,val,397,bring_bowl_to_table_plate_already_there,1,397
ood,val,400,bring_plate_to_table_bowl_already_there,1,400
ood,val,405,bring_plate_to_table_bowl_already_there,1,405
ood,val,427,bring_plate_to_table_bowl_already_there,1,427
ood,val,440,bring_plate_to_table_bowl_already_there,1,440
ood,val,441,bring_plate_and_bowl_to_table,1,441
ood,val,465,bring_plate_to_table_bowl_already_there,1,465
ood,val,467,bring_bowl_to_table_plate_already_there,1,467
ood,val,472,bring_plate_to_table_bowl_already_there,1,472
ood,val,475,bring_plate_and_bowl_to_table,1,475
ood,val,477,bring_plate_to_table_bowl_already_there,1,477
ood,val,503,bring_plate_and_bowl_to_table,1,503
ood,val,512,bring_plate_to_table_bowl_already_there,1,512
ood,val,527,bring_plate_and_bowl_to_table,1,527
ood,val,537,bring_plate_and_bowl_to_table,1,537
ood,val,541,bring_bowl_to_table_plate_already_there,1,541
ood,val,547,bring_plate_and_bowl_to_table,1,547
ood,val,552,bring_plate_to_table_bowl_already_there,1,552
ood,val,559,bring_plate_to_table_bowl_already_there,1,559
ood,val,564,bring_plate_and_bowl_to_table,1,564
ood,val,571,bring_bowl_to_table_plate_already_there,1,571
ood,val,572,bring_plate_to_table_bowl_already_there,1,572
ood,val,576,bring_plate_to_table_bowl_already_there,1,576
ood,val,578,bring_bowl_to_table_plate_already_there,1,578
ood,val,580,bring_plate_and_bowl_to_table,1,580
ood,val,583,bring_plate_and_bowl_to_table,1,583
ood,val,584,bring_plate_and_bowl_to_table,1,584
ood,val,588,bring_bowl_to_table_plate_already_there,1,588
ood,val,591,bring_plate_to_table_bowl_already_there,1,591
ood,val,597,bring_bowl_to_table_plate_already_there,1,597
ood,val,600,bring_plate_and_bowl_to_table,1,600
ood,val,602,bring_plate_to_table_bowl_already_there,1,602
ood,val,604,bring_plate_and_bowl_to_table,1,604
ood,val,607,bring_bowl_to_table_plate_already_there,1,607
ood,val,617,bring_bowl_to_table_plate_already_there,1,617
ood,val,629,bring_bowl_to_table_plate_already_there,1,629
ood,val,633,bring_plate_and_bowl_to_table,1,633
ood,val,635,bring_plate_and_bowl_to_table,1,635
ood,val,642,bring_bowl_to_table_plate_already_there,1,642
ood,val,654,bring_bowl_to_table_plate_already_there,1,654
ood,val,655,bring_plate_to_table_bowl_already_there,1,655
ood,val,657,bring_plate_to_table_bowl_already_there,1,657
ood,val,677,bring_plate_to_table_bowl_already_there,1,677
ood,val,681,bring_plate_and_bowl_to_table,1,681
ood,val,692,bring_plate_to_table_bowl_already_there,1,692
ood,val,697,bring_plate_and_bowl_to_table,1,697
ood,val,702,bring_bowl_to_table_plate_already_there,1,702
ood,val,719,bring_bowl_to_table_plate_already_there,1,719
ood,val,721,bring_plate_and_bowl_to_table,1,721
ood,val,722,bring_plate_and_bowl_to_table,1,722
ood,val,726,bring_plate_to_table_bowl_already_there,1,726
ood,val,730,bring_plate_and_bowl_to_table,1,730
ood,val,737,bring_bowl_to_table_plate_already_there,1,737
ood,val,742,bring_bowl_to_table_plate_already_there,1,742
ood,val,751,bring_plate_and_bowl_to_table,1,751
ood,val,757,bring_plate_to_table_bowl_already_there,1,757
ood,val,764,bring_plate_to_table_bowl_already_there,1,764
ood,val,768,bring_plate_and_bowl_to_table,1,768
ood,val,776,bring_bowl_to_table_plate_already_there,1,776
ood,val,783,bring_bowl_to_table_plate_already_there,1,783
ood,val,797,bring_plate_to_table_bowl_already_there,1,797
ood,val,802,bring_bowl_to_table_plate_already_there,1,802
ood,val,807,bring_plate_to_table_bowl_already_there,1,807
ood,val,813,bring_plate_and_bowl_to_table,1,813
ood,val,817,bring_bowl_to_table_plate_already_there,1,817
ood,val,827,bring_plate_to_table_bowl_already_there,1,827
ood,val,829,bring_bowl_to_table_plate_already_there,1,829
ood,val,836,bring_plate_to_table_bowl_already_there,1,836
ood,val,849,bring_plate_to_table_bowl_already_there,1,849
ood,val,851,bring_bowl_to_table_plate_already_there,1,851
ood,val,852,bring_bowl_to_table_plate_already_there,1,852
ood,val,869,bring_plate_and_bowl_to_table,1,869
ood,val,872,bring_bowl_to_table_plate_already_there,1,872
ood,val,874,bring_plate_to_table_bowl_already_there,1,874
ood,val,879,bring_plate_and_bowl_to_table,1,879
ood,val,881,bring_plate_to_table_bowl_already_there,1,881
ood,val,885,bring_plate_to_table_bowl_already_there,1,885
ood,val,887,bring_bowl_to_table_plate_already_there,1,887
ood,val,890,bring_bowl_to_table_plate_already_there,1,890
ood,val,897,bring_plate_and_bowl_to_table,1,897
ood,val,899,bring_plate_and_bowl_to_table,1,899
ood,val,901,bring_plate_to_table_bowl_already_there,1,901
ood,val,903,bring_bowl_to_table_plate_already_there,1,903
ood,val,907,bring_bowl_to_table_plate_already_there,1,907
ood,val,910,bring_bowl_to_table_plate_already_there,1,910
ood,val,921,bring_plate_to_table_bowl_already_there,1,921
ood,val,923,bring_plate_and_bowl_to_table,1,923
ood,val,924,bring_plate_to_table_bowl_already_there,1,924
ood,val,935,bring_bowl_to_table_plate_already_there,1,935
ood,val,937,bring_bowl_to_table_plate_already_there,1,937
ood,val,953,bring_plate_to_table_bowl_already_there,1,953
ood,val,965,bring_bowl_to_table_plate_already_there,1,965
ood,val,977,bring_plate_to_table_bowl_already_there,1,977
ood,val,979,bring_plate_and_bowl_to_table,1,979
ood,val,984,bring_bowl_to_table_plate_already_there,1,984
ood,val,990,bring_plate_to_table_bowl_already_there,1,990
ood,val,994,bring_plate_to_table_bowl_already_there,1,994
ood,val,995,bring_plate_and_bowl_to_table,1,995
ood,val,1003,bring_plate_and_bowl_to_table,1,1003
ood,val,1016,bring_bowl_to_table_plate_already_there,1,1016
ood,val,1020,bring_plate_and_bowl_to_table,1,1020
ood,val,1025,bring_plate_to_table_bowl_already_there,1,1025
ood,val,1035,bring_plate_to_table_bowl_already_there,1,1035
ood,val,1038,bring_plate_to_table_bowl_already_there,1,1038
ood,val,1051,bring_plate_and_bowl_to_table,1,1051
ood,val,1071,bring_plate_to_table_bowl_already_there,1,1071
ood,val,1079,bring_plate_and_bowl_to_table,1,1079
ood,val,1082,bring_plate_to_table_bowl_already_there,1,1082
ood,val,1093,bring_plate_and_bowl_to_table,1,1093
ood,val,1099,bring_bowl_to_table_plate_already_there,1,1099
ood,val,1100,bring_bowl_to_table_plate_already_there,1,1100
ood,val,1102,bring_bowl_to_table_plate_already_there,1,1102
ood,val,1118,bring_plate_to_table_bowl_already_there,1,1118
ood,val,1121,bring_plate_to_table_bowl_already_there,1,1121
ood,val,1127,bring_plate_to_table_bowl_already_there,1,1127
ood,val,1128,bring_plate_and_bowl_to_table,1,1128
ood,val,1130,bring_plate_to_table_bowl_already_there,1,1130
ood,val,1131,bring_plate_and_bowl_to_table,1,1131
ood,val,1134,bring_plate_to_table_bowl_already_there,1,1134
ood,val,1144,bring_plate_and_bowl_to_table,1,1144
ood,val,1150,bring_plate_to_table_bowl_already_there,1,1150
ood,val,1155,bring_bowl_to_table_plate_already_there,1,1155
ood,val,1160,bring_plate_and_bowl_to_table,1,1160
ood,val,1169,bring_plate_and_bowl_to_table,1,1169
ood,val,1170,bring_plate_and_bowl_to_table,1,1170
ood,val,1179,bring_bowl_to_table_plate_already_there,1,1179
ood,val,1182,bring_plate_and_bowl_to_table,1,1182
ood,val,1193,bring_plate_and_bowl_to_table,1,1193
ood,val,1199,bring_plate_and_bowl_to_table,1,1199
ood,val,1200,bring_plate_and_bowl_to_table,1,1200
ood,val,1217,bring_bowl_to_table_plate_already_there,1,1217
