channel,index,candidate_instances,full_signature_cover_count,full_signature_cover_ids,min_plan_edit_distance,nearest_edit_instance_id,max_plan_trigram_jaccard,nearest_trigram_instance_id
productivity,0,10359,0,[],2,1258:0,0.3333333333333333,819:0
productivity,4,10359,0,[],2,1040:1,0.3333333333333333,999:0
productivity,6,10359,0,[],2,1040:1,0.3333333333333333,999:0
productivity,16,10359,0,[],2,1033:0,0.3333333333333333,988:0
productivity,19,10359,0,[],7,105:1,0.2222222222222222,9:1
productivity,24,10359,0,[],7,1005:1,0.2222222222222222,995:1
productivity,25,10359,0,[],2,1000:0,0.3333333333333333,987:0
productivity,36,10359,0,[],2,1114:0,0.3333333333333333,931:0
productivity,42,10359,0,[],7,107:2,0.0,9:2
productivity,48,10359,0,[],7,105:1,0.2222222222222222,9:1
productivity,58,10359,0,[],2,1228:0,0.3333333333333333,7143:0
productivity,60,10359,0,[],2,0:1,0.3333333333333333,987:1
productivity,64,10359,0,[],2,1000:0,0.3333333333333333,987:0
productivity,66,10359,0,[],2,1004:0,0.3333333333333333,97:0
productivity,69,10359,0,[],2,0:0,0.3333333333333333,955:0
productivity,70,10359,0,[],2,1002:0,0.3333333333333333,980:0
productivity,73,10359,0,[],2,1301:0,0.3333333333333333,896:0
productivity,74,10359,0,[],2,1040:1,0.3333333333333333,999:0
productivity,76,10359,0,[],2,1000:0,0.3333333333333333,987:0
productivity,83,10359,0,[],2,0:0,0.3333333333333333,955:0
productivity,84,10359,0,[],2,0:0,0.3333333333333333,955:0
productivity,88,10359,0,[],2,1000:0,0.3333333333333333,987:0
productivity,91,10359,0,[],2,1002:0,0.3333333333333333,980:0
productivity,102,10359,0,[],7,105:1,0.2222222222222222,9:1
productivity,106,10359,0,[],2,0:0,0.3333333333333333,955:0
productivity,109,10359,0,[],7,1005:1,0.2222222222222222,995:1
productivity,122,10359,0,[],7,1376:2,0.0,9:2
productivity,130,10359,0,[],2,1002:0,0.3333333333333333,980:0
productivity,139,10359,0,[],2,1000:0,0.3333333333333333,987:0
productivity,143,10359,0,[],2,1002:0,0.3333333333333333,980:0
productivity,150,10359,0,[],2,1000:0,0.3333333333333333,987:0
productivity,155,10359,0,[],7,105:1,0.2222222222222222,9:1
productivity,160,10359,0,[],2,1002:0,0.3333333333333333,980:0
productivity,161,10359,0,[],2,1002:0,0.3333333333333333,980:0
productivity,162,10359,0,[],2,1040:1,0.3333333333333333,999:0
productivity,171,10359,0,[],7,1005:1,0.2222222222222222,995:1
productivity,174,10359,0,[],7,1005:1,0.2222222222222222,995:1
productivity,190,10359,0,[],7,1005:1,0.2222222222222222,995:1
productivity,191,10359,0,[],2,1002:0,0.3333333333333333,980:0
productivity,193,10359,0,[],2,1072:0,0.3333333333333333,929:0
productivity,195,10359,0,[],2,1000:0,0.3333333333333333,987:0
productivity,201,10359,0,[],2,1002:0,0.3333333333333333,980:0
productivity,203,10359,0,[],2,0:0,0.3333333333333333,955:0
productivity,204,10359,0,[],7,1005:1,0.2222222222222222,995:1
productivity,210,10359,0,[],2,1050:0,0.3333333333333333,970:0
productivity,220,10359,0,[],2,1033:0,0.3333333333333333,988:0
productivity,225,10359,0,[],2,1159:0,0.3333333333333333,930:0
productivity,228,10359,0,[],7,0:1,0.0,9:2
productivity,229,10359,0,[],7,1005:1,0.2222222222222222,995:1
productivity,233,10359,0,[],7,1005:1,0.2222222222222222,995:1
productivity,238,10359,0,[],2,1000:0,0.3333333333333333,987:0
productivity,240,10359,0,[],7,105:1,0.2222222222222222,9:1
productivity,248,10359,0,[],7,105:1,0.2222222222222222,9:1
productivity,252,10359,0,[],2,1002:0,0.3333333333333333,980:0
productivity,256,10359,0,[],2,1258:0,0.3333333333333333,819:0
productivity,257,10359,0,[],2,1072:0,0.3333333333333333,929:0
productivity,258,10359,0,[],7,1022:0,0.0,9:2
productivity,263,10359,0,[],2,1072:0,0.3333333333333333,929:0
productivity,266,10359,0,[],2,1000:0,0.3333333333333333,987:0
productivity,282,10359,0,[],2,0:0,0.3333333333333333,955:0
productivity,284,10359,0,[],7,1136:2,0.0,9:2
productivity,296,10359,0,[],7,105:1,0.2222222222222222,9:1
productivity,306,10359,0,[],2,0:0,0.3333333333333333,955:0
productivity,320,10359,0,[],2,1033:0,0.3333333333333333,988:0
productivity,327,10359,0,[],2,1022:0,0.3333333333333333,910:0
productivity,331,10359,0,[],2,1075:0,0.3333333333333333,944:0
productivity,336,10359,0,[],2,1004:0,0.3333333333333333,97:0
productivity,338,10359,0,[],2,1040:1,0.3333333333333333,999:0
productivity,341,10359,0,[],2,0:0,0.3333333333333333,955:0
productivity,344,10359,0,[],7,105:1,0.2222222222222222,9:1
productivity,347,10359,0,[],7,105:1,0.2222222222222222,9:1
productivity,350,10359,0,[],2,1033:0,0.3333333333333333,988:0
productivity,354,10359,0,[],2,1000:0,0.3333333333333333,987:0
productivity,355,10359,0,[],2,0:0,0.3333333333333333,955:0
productivity,357,10359,0,[],2,1002:0,0.3333333333333333,980:0
productivity,365,10359,0,[],7,105:1,0.2222222222222222,9:1
productivity,366,10359,0,[],7,1762:2,0.0,9:2
productivity,369,10359,0,[],2,1002:0,0.3333333333333333,980:0
