table,split,label,samples,zero_shot_successes,memory_successes,zero_shot_accuracy,memory_accuracy,zero_shot_interval,memory_interval,absolute_delta,delta_interval,success_to_fail,fail_to_success,discordant_pairs,mcnemar_exact_p,zero_shot_format_compliance,memory_format_compliance,task_name,comparison
regime,id,Stock 7B segment memory,300,1,5,0.0033333333333333335,0.016666666666666666,"(8.438913231780044e-05, 0.018431252048067885)","(0.005433205315105251, 0.038463744964996424)",0.013333333333333334,"(0.0, 0.03)",1,5,6,0.21875,0.9966666666666667,0.9966666666666667,,
regime,id,Local 72B segment memory,300,22,31,0.07333333333333333,0.10333333333333333,"(0.046525664384785115, 0.10892446451689587)","(0.07129644602853305, 0.14346052148741445)",0.03,"(-0.006666666666666667, 0.06666666666666667)",12,21,33,0.16275565745308995,1.0,0.9433333333333334,,
regime,id,RL 7B graded memory,300,278,261,0.9266666666666666,0.87,"(0.8910755354831041, 0.9534743356152149)","(0.8265951605527668, 0.9058988093684294)",-0.056666666666666664,"(-0.08666666666666667, -0.02666666666666667)",20,3,23,0.00048828125,1.0,1.0,,
regime,ood,Stock 7B segment memory,1218,0,0,0.0,0.0,"(0.0, 0.003024054968414779)","(0.0, 0.003024054968414779)",0.0,"(0.0, 0.0)",0,0,0,1.0,0.9926108374384236,0.9794745484400657,,
regime,ood,Local 72B segment memory,1218,10,23,0.008210180623973728,0.018883415435139574,"(0.003943918753387688, 0.015046830357387847)","(0.012007183179086741, 0.028200324237824984)",0.010673234811165846,"(0.0016420361247947454, 0.019704433497536946)",10,23,33,0.03508203336969018,1.0,0.9942528735632183,,
regime,ood,RL 7B legacy skill memory,1218,403,373,0.3308702791461412,0.30623973727422005,"(0.3044701945063316, 0.3580896186409218)","(0.2804372516580848, 0.33298117390668724)",-0.024630541871921183,"(-0.04351395730706076, -0.005747126436781609)",85,55,140,0.013957334124842395,1.0,1.0,,
ood_family,ood,bring_bowl_to_table_plate_already_there,409,0,10,0.0,0.02444987775061125,"(0.0, 0.008978713603572584)","(0.011785531138836394, 0.04450353535387689)",0.02444987775061125,"(0.009779951100244499, 0.04156479217603912)",0,10,10,0.001953125,1.0,0.9975550122249389,bring_bowl_to_table_plate_already_there,
ood_family,ood,bring_plate_and_bowl_to_table,391,0,0,0.0,0.0,"(0.0, 0.009390109284315641)","(0.0, 0.009390109284315641)",0.0,"(0.0, 0.0)",0,0,0,1.0,1.0,0.9923273657289002,bring_plate_and_bowl_to_table,
ood_family,ood,bring_plate_to_table_bowl_already_there,418,10,13,0.023923444976076555,0.03110047846889952,"(0.011530480931541447, 0.043555019292492024)","(0.01666152654352062, 0.052595622921504936)",0.007177033492822967,"(-0.014354066985645933, 0.028708133971291867)",10,13,23,0.6776394844055176,1.0,0.992822966507177,bring_plate_to_table_bowl_already_there,
cprime_comparison,instance,instance: zero to skill,400,23,28,0.0575,0.07,"(0.03679551950927162, 0.08503159529781051)","(0.047015328400178934, 0.0995825157700608)",0.0125,"(-0.005, 0.0325)",5,10,15,0.3017578125,1.0,0.9675,,zero_shot_to_skill
cprime_comparison,instance,instance: zero to flat,400,23,47,0.0575,0.1175,"(0.03679551950927162, 0.08503159529781051)","(0.08762468318514298, 0.1531732468490809)",0.06,"(0.0325, 0.0875)",4,28,32,1.9301194697618484e-05,1.0,0.94,,zero_shot_to_flat
cprime_comparison,instance,instance: flat to skill,400,47,28,0.1175,0.07,"(0.08762468318514298, 0.1531732468490809)","(0.047015328400178934, 0.0995825157700608)",-0.0475,"(-0.0725, -0.0225)",23,4,27,0.000310748815536499,0.94,0.9675,,flat_to_skill
cprime_comparison,productivity,productivity: zero to skill,400,5,36,0.0125,0.09,"(0.004070835844599722, 0.028928343785286817)","(0.06383147319268312, 0.12241988689032243)",0.0775,"(0.0475, 0.1075)",4,35,39,3.353161446284503e-07,1.0,0.995,,zero_shot_to_skill
cprime_comparison,productivity,productivity: zero to flat,400,5,57,0.0125,0.1425,"(0.004070835844599722, 0.028928343785286817)","(0.10974766154470904, 0.18065109731865608)",0.13,"(0.095, 0.165)",3,55,58,2.2598589666245061e-13,1.0,0.9875,,zero_shot_to_flat
cprime_comparison,productivity,productivity: flat to skill,400,57,36,0.1425,0.09,"(0.10974766154470904, 0.18065109731865608)","(0.06383147319268312, 0.12241988689032243)",-0.0525,"(-0.095, -0.01)",49,28,77,0.02203345876482212,0.9875,0.995,,flat_to_skill
