channel,index,exemplar_rank,source_train_index,source_full_signature,source_ordered_units,source_unit_kinds,source_is_multi_unit,covers_test_full_signature,grounded_plan_trigram_jaccard
instance,13,1,2966,"{""object_count"":2,""ordered_units"":[""fetch(plate)"",""state_change(open,cabinet)"",""relocate(plate,kitchen work area)"",""fetch(tomato)"",""open_container_then_retrieve(cabinet,tomato)"",""relocate(tomato,plate)"",""multi_object_sequence(2)""],""plan_length"":8}","[""fetch(plate)"",""state_change(open,cabinet)"",""relocate(plate,kitchen work area)"",""fetch(tomato)"",""open_container_then_retrieve(cabinet,tomato)"",""relocate(tomato,plate)"",""multi_object_sequence(2)""]","[""fetch"",""state_change"",""relocate"",""fetch"",""open_container_then_retrieve"",""relocate"",""multi_object_sequence""]",True,False,0.0
instance,13,2,6810,"{""object_count"":2,""ordered_units"":[""fetch(plate)"",""state_change(open,cabinet)"",""relocate(plate,kitchen work area)"",""fetch(tomato)"",""open_container_then_retrieve(cabinet,tomato)"",""relocate(tomato,plate)"",""multi_object_sequence(2)""],""plan_length"":8}","[""fetch(plate)"",""state_change(open,cabinet)"",""relocate(plate,kitchen work area)"",""fetch(tomato)"",""open_container_then_retrieve(cabinet,tomato)"",""relocate(tomato,plate)"",""multi_object_sequence(2)""]","[""fetch"",""state_change"",""relocate"",""fetch"",""open_container_then_retrieve"",""relocate"",""multi_object_sequence""]",True,False,0.0
instance,20,1,2802,"{""object_count"":2,""ordered_units"":[""state_change(open,cabinet)"",""fetch(tomato)"",""relocate(tomato,table)"",""fetch(peach)"",""open_container_then_retrieve(cabinet,peach)"",""relocate(peach,table)"",""multi_object_sequence(2)""],""plan_length"":8}","[""state_change(open,cabinet)"",""fetch(tomato)"",""relocate(tomato,table)"",""fetch(peach)"",""open_container_then_retrieve(cabinet,peach)"",""relocate(peach,table)"",""multi_object_sequence(2)""]","[""state_change"",""fetch"",""relocate"",""fetch"",""open_container_then_retrieve"",""relocate"",""multi_object_sequence""]",True,True,1.0
instance,33,1,1808,"{""object_count"":1,""ordered_units"":[""state_change(open,cabinet)"",""fetch(bread)"",""open_container_then_retrieve(cabinet,bread)"",""relocate(bread,bowl)""],""plan_length"":8}","[""state_change(open,cabinet)"",""fetch(bread)"",""open_container_then_retrieve(cabinet,bread)"",""relocate(bread,bowl)""]","[""state_change"",""fetch"",""open_container_then_retrieve"",""relocate""]",True,True,1.0
instance,33,2,2419,"{""object_count"":1,""ordered_units"":[""state_change(open,cabinet)"",""fetch(bread)"",""open_container_then_retrieve(cabinet,bread)"",""relocate(bread,plate)""],""plan_length"":8}","[""state_change(open,cabinet)"",""fetch(bread)"",""open_container_then_retrieve(cabinet,bread)"",""relocate(bread,plate)""]","[""state_change"",""fetch"",""open_container_then_retrieve"",""relocate""]",True,False,0.5
instance,42,1,3563,"{""object_count"":1,""ordered_units"":[""fetch(meat)"",""state_change(push,cardboardbox,R1)"",""relocate(meat,cardboardbox)"",""state_change(push,cardboardbox,R2)"",""fetch(meat)"",""relocate(meat,sink)""],""plan_length"":7}","[""fetch(meat)"",""state_change(push,cardboardbox,R1)"",""relocate(meat,cardboardbox)"",""state_change(push,cardboardbox,R2)"",""fetch(meat)"",""relocate(meat,sink)""]","[""fetch"",""state_change"",""relocate"",""state_change"",""fetch"",""relocate""]",True,False,0.0
instance,52,1,4514,"{""object_count"":2,""ordered_units"":[""fetch(apple)"",""fetch(knife)"",""state_change(open,cabinet)"",""relocate(apple,cabinet)"",""relocate(knife,cabinet)"",""multi_object_sequence(2)""],""plan_length"":7}","[""fetch(apple)"",""fetch(knife)"",""state_change(open,cabinet)"",""relocate(apple,cabinet)"",""relocate(knife,cabinet)"",""multi_object_sequence(2)""]","[""fetch"",""fetch"",""state_change"",""relocate"",""relocate"",""multi_object_sequence""]",True,False,0.25
instance,53,1,6114,"{""object_count"":2,""ordered_units"":[""fetch(bowl)"",""state_change(open,cabinet)"",""relocate(bowl,kitchen work area)"",""fetch(apple)"",""open_container_then_retrieve(cabinet,apple)"",""relocate(apple,bowl)"",""multi_object_sequence(2)""],""plan_length"":8}","[""fetch(bowl)"",""state_change(open,cabinet)"",""relocate(bowl,kitchen work area)"",""fetch(apple)"",""open_container_then_retrieve(cabinet,apple)"",""relocate(apple,bowl)"",""multi_object_sequence(2)""]","[""fetch"",""state_change"",""relocate"",""fetch"",""open_container_then_retrieve"",""relocate"",""multi_object_sequence""]",True,True,1.0
instance,76,1,1739,"{""object_count"":1,""ordered_units"":[""fetch(banana)"",""relocate(banana,table)""],""plan_length"":5}","[""fetch(banana)"",""relocate(banana,table)""]","[""fetch"",""relocate""]",True,True,1.0
instance,76,2,4112,"{""object_count"":1,""ordered_units"":[""fetch(banana)"",""relocate(banana,table)""],""plan_length"":5}","[""fetch(banana)"",""relocate(banana,table)""]","[""fetch"",""relocate""]",True,True,1.0
instance,82,1,1431,"{""object_count"":1,""ordered_units"":[""fetch(apple)"",""relocate(apple,table)""],""plan_length"":5}","[""fetch(apple)"",""relocate(apple,table)""]","[""fetch"",""relocate""]",True,True,1.0
instance,82,2,1611,"{""object_count"":1,""ordered_units"":[""fetch(apple)"",""relocate(apple,table)""],""plan_length"":5}","[""fetch(apple)"",""relocate(apple,table)""]","[""fetch"",""relocate""]",True,True,1.0
instance,82,3,3977,"{""object_count"":1,""ordered_units"":[""fetch(apple)"",""relocate(apple,table)""],""plan_length"":5}","[""fetch(apple)"",""relocate(apple,table)""]","[""fetch"",""relocate""]",True,True,1.0
instance,88,1,1161,"{""object_count"":1,""ordered_units"":[""fetch(banana)"",""relocate(banana,table)""],""plan_length"":5}","[""fetch(banana)"",""relocate(banana,table)""]","[""fetch"",""relocate""]",True,True,1.0
instance,88,2,1682,"{""object_count"":1,""ordered_units"":[""fetch(banana)"",""relocate(banana,table)""],""plan_length"":5}","[""fetch(banana)"",""relocate(banana,table)""]","[""fetch"",""relocate""]",True,True,1.0
instance,88,3,4267,"{""object_count"":1,""ordered_units"":[""fetch(banana)"",""relocate(banana,table)""],""plan_length"":5}","[""fetch(banana)"",""relocate(banana,table)""]","[""fetch"",""relocate""]",True,True,1.0
instance,93,1,172,"{""object_count"":0,""ordered_units"":[""state_change(interact,fridge)""],""plan_length"":2}","[""state_change(interact,fridge)""]","[""state_change""]",False,True,1.0
instance,94,1,3536,"{""object_count"":2,""ordered_units"":[""fetch(plate)"",""state_change(open,cabinet)"",""relocate(plate,kitchen work area)"",""fetch(banana)"",""open_container_then_retrieve(cabinet,banana)"",""relocate(banana,plate)"",""multi_object_sequence(2)""],""plan_length"":8}","[""fetch(plate)"",""state_change(open,cabinet)"",""relocate(plate,kitchen work area)"",""fetch(banana)"",""open_container_then_retrieve(cabinet,banana)"",""relocate(banana,plate)"",""multi_object_sequence(2)""]","[""fetch"",""state_change"",""relocate"",""fetch"",""open_container_then_retrieve"",""relocate"",""multi_object_sequence""]",True,True,1.0
instance,115,1,369,"{""object_count"":2,""ordered_units"":[""fetch(bowl)"",""state_change(open,cabinet)"",""relocate(bowl,kitchen island area)"",""fetch(bread)"",""open_container_then_retrieve(cabinet,bread)"",""relocate(bread,bowl)"",""multi_object_sequence(2)""],""plan_length"":8}","[""fetch(bowl)"",""state_change(open,cabinet)"",""relocate(bowl,kitchen island area)"",""fetch(bread)"",""open_container_then_retrieve(cabinet,bread)"",""relocate(bread,bowl)"",""multi_object_sequence(2)""]","[""fetch"",""state_change"",""relocate"",""fetch"",""open_container_then_retrieve"",""relocate"",""multi_object_sequence""]",True,False,0.0
instance,118,1,58,"{""object_count"":2,""ordered_units"":[""fetch(banana)"",""state_change(open,cabinet)"",""relocate(banana,table)"",""fetch(pear)"",""open_container_then_retrieve(cabinet,pear)"",""relocate(pear,table)"",""multi_object_sequence(2)""],""plan_length"":8}","[""fetch(banana)"",""state_change(open,cabinet)"",""relocate(banana,table)"",""fetch(pear)"",""open_container_then_retrieve(cabinet,pear)"",""relocate(pear,table)"",""multi_object_sequence(2)""]","[""fetch"",""state_change"",""relocate"",""fetch"",""open_container_then_retrieve"",""relocate"",""multi_object_sequence""]",True,False,0.0
