channel,index,test_full_signature,source_train_indices_before_token_trim,injected_whole_source_train_indices,partially_injected_source_train_indices,exemplar_count,pretrim_source_count,partially_injected_source_count,multi_unit_exemplar_count,covering_exemplar_count,has_covering_exemplar,maximum_grounded_plan_trigram_jaccard,flat_success,skill_success,flat_success_skill_failure
instance,1,"{""object_count"":1,""ordered_units"":[""fetch(tomato)"",""relocate(tomato,sink)"",""state_change(interact,sink)"",""fetch(tomato)"",""check_then_act(sink,tomato)"",""relocate(tomato,plate)""],""plan_length"":11}",[109],[],[109],0,1,1,0,0,False,0.0,False,False,False
instance,13,"{""object_count"":2,""ordered_units"":[""state_change(open,cabinet)"",""fetch(bowl)"",""relocate(bowl,kitchen work area)"",""fetch(tomato)"",""open_container_then_retrieve(cabinet,tomato)"",""relocate(tomato,bowl)"",""multi_object_sequence(2)""],""plan_length"":8}","[2966,6810,7091]","[2966,6810]",[],2,3,0,2,0,False,0.0,False,False,False
instance,18,"{""object_count"":1,""ordered_units"":[""fetch(pear)"",""relocate(pear,sink)"",""state_change(interact,sink)"",""fetch(pear)"",""check_then_act(sink,pear)"",""relocate(pear,bowl)""],""plan_length"":11}",[],[],[],0,0,0,0,0,False,0.0,False,False,False
instance,20,"{""object_count"":2,""ordered_units"":[""state_change(open,cabinet)"",""fetch(tomato)"",""relocate(tomato,table)"",""fetch(peach)"",""open_container_then_retrieve(cabinet,peach)"",""relocate(peach,table)"",""multi_object_sequence(2)""],""plan_length"":8}","[2802,4077]",[2802],[4077],1,2,1,1,1,True,1.0,False,False,False
instance,29,"{""object_count"":1,""ordered_units"":[""fetch(peach)"",""relocate(peach,sink)"",""state_change(interact,sink)"",""fetch(peach)"",""check_then_act(sink,peach)"",""relocate(peach,bowl)""],""plan_length"":11}",[461],[],[461],0,1,1,0,0,False,0.0,False,False,False
instance,33,"{""object_count"":1,""ordered_units"":[""state_change(open,cabinet)"",""fetch(bread)"",""open_container_then_retrieve(cabinet,bread)"",""relocate(bread,bowl)""],""plan_length"":8}","[1808,2419,3283]","[1808,2419]",[],2,3,0,2,1,True,1.0,False,False,False
instance,40,"{""object_count"":2,""ordered_units"":[""fetch(knife)"",""fetch(peach)"",""fetch(tomato)"",""relocate(peach,wooden cutting board)"",""relocate(tomato,wooden cutting board)"",""state_change(interact,knife)"",""multi_object_sequence(2)""],""plan_length"":9}",[],[],[],0,0,0,0,0,False,0.0,False,False,False
instance,41,"{""object_count"":2,""ordered_units"":[""fetch(tomato)"",""fetch(green peas)"",""relocate(tomato,bowl)"",""relocate(green peas,bowl)"",""multi_object_sequence(2)""],""plan_length"":8}",[],[],[],0,0,0,0,0,False,0.0,False,False,False
instance,42,"{""object_count"":1,""ordered_units"":[""state_change(push,cardboardbox,R2)"",""fetch(meat)"",""relocate(meat,cardboardbox)"",""state_change(push,cardboardbox,R3)"",""fetch(meat)"",""relocate(meat,sink)""],""plan_length"":7}","[3563,4009]",[3563],[4009],1,2,1,1,0,False,0.0,False,False,False
instance,45,"{""object_count"":1,""ordered_units"":[""fetch(peach)"",""relocate(peach,sink)"",""state_change(interact,sink)"",""fetch(peach)"",""check_then_act(sink,peach)"",""relocate(peach,bowl)""],""plan_length"":11}",[],[],[],0,0,0,0,0,False,0.0,False,False,False
instance,47,"{""object_count"":2,""ordered_units"":[""fetch(peach)"",""fetch(knife)"",""fetch(bread)"",""relocate(peach,wooden cutting board)"",""relocate(bread,wooden cutting board)"",""state_change(interact,knife)"",""multi_object_sequence(2)""],""plan_length"":9}",[],[],[],0,0,0,0,0,False,0.0,False,False,False
