channel,index,allowed_instance_count_field,allowed_instance_ids_length,allowed_source_count_field,allowed_source_indices_length,allowed_source_min,allowed_source_max
instance,1,3135,3135,627,627,18,7195
instance,13,811,811,235,235,17,7171
instance,18,3135,3135,627,627,18,7195
instance,20,2618,2618,1141,1141,20,7188
instance,29,3135,3135,627,627,18,7195
instance,33,789,789,263,263,14,7190
instance,40,1564,1564,391,391,1,7193
instance,41,1206,1206,402,402,0,7184
instance,42,646,646,170,170,4,7159
instance,45,3135,3135,627,627,18,7195
instance,47,1564,1564,391,391,1,7193
instance,49,1206,1206,402,402,0,7184
instance,51,1648,1648,824,824,6,7177
instance,52,1914,1914,631,631,45,7189
instance,53,811,811,235,235,17,7171
instance,54,1218,1218,406,406,8,7176
instance,59,3135,3135,627,627,18,7195
instance,61,1914,1914,631,631,45,7189
instance,62,3135,3135,627,627,18,7195
instance,68,2265,2265,755,755,7,7194
instance,71,1914,1914,631,631,45,7189
instance,73,1648,1648,824,824,6,7177
instance,76,2618,2618,1141,1141,20,7188
instance,78,1564,1564,391,391,1,7193
instance,82,2618,2618,1141,1141,20,7188
instance,84,566,566,283,283,2,7185
instance,85,3135,3135,627,627,18,7195
instance,88,2618,2618,1141,1141,20,7188
instance,91,1648,1648,824,824,6,7177
instance,93,319,319,171,171,51,7179
instance,94,811,811,235,235,17,7171
instance,95,1564,1564,391,391,1,7193
instance,115,811,811,235,235,17,7171
instance,118,2618,2618,1141,1141,20,7188
instance,121,2618,2618,1141,1141,20,7188
instance,122,646,646,170,170,4,7159
instance,129,1218,1218,406,406,8,7176
instance,133,3135,3135,627,627,18,7195
instance,134,1218,1218,406,406,8,7176
instance,136,2618,2618,1141,1141,20,7188
instance,138,1914,1914,631,631,45,7189
instance,145,811,811,235,235,17,7171
instance,147,1218,1218,406,406,8,7176
instance,153,566,566,283,283,2,7185
instance,161,2618,2618,1141,1141,20,7188
instance,164,800,800,400,400,27,7191
instance,171,2265,2265,755,755,7,7194
instance,176,1564,1564,391,391,1,7193
instance,177,1218,1218,406,406,8,7176
instance,179,1218,1218,406,406,8,7176
instance,187,566,566,283,283,2,7185
instance,192,3135,3135,627,627,18,7195
instance,193,1648,1648,824,824,6,7177
instance,197,1914,1914,631,631,45,7189
instance,202,2618,2618,1141,1141,20,7188
instance,209,1914,1914,631,631,45,7189
instance,222,1564,1564,391,391,1,7193
instance,225,1648,1648,824,824,6,7177
instance,228,646,646,170,170,4,7159
instance,230,800,800,400,400,27,7191
