index,subgoal_position,predicted_subgoal,predicted_primitive_kind,matched_skill_name,injected_instance_ids,injected_unit_kinds,retrieval_hit,channel
1,0,pick_tomato_0_from_kitchen_work_area,fetch,fetch_tomato_from_cabinet,[],[],False,instance
1,1,move_to_sink_1,,move_to_destination,"[""2015:1"",""2015:4""]","[""relocate""]",,instance
1,2,clean_tomato_0,state_change,place_tomato,[],[],False,instance
1,3,move_to_plate_0,,place_on_plate,[],[],,instance
1,4,place_tomato_0_on_plate_0,relocate,load_tomato_into_plate,[],[],False,instance
13,0,move_to_kitchen_island_area,,navigate_to_kitchen_island,"[""1484:0""]","[""fetch"",""state_change""]",,instance
13,1,pick_bowl_0,fetch,fetch_bowl,"[""4764:0"",""1488:0""]","[""fetch"",""state_change""]",True,instance
13,2,move_to_kitchen_work_area,,move_to_cabinet,"[""3800:0""]","[""fetch"",""state_change""]",,instance
13,3,place_bowl_0,relocate,place_bowl,"[""4764:1"",""1488:2""]","[""fetch"",""multi_object_sequence"",""open_container_then_retrieve"",""relocate""]",True,instance
13,4,move_to_cabinet,,move_to_cabinet,[],[],,instance
13,5,pick_tomato_1,fetch,fetch_tomato,[],[],False,instance
13,6,move_to_bowl_0,,place_bowl,[],[],,instance
13,7,put_tomato_1_in_bowl_0,relocate,load_tomato_into_plate,[],[],False,instance
18,0,go_to_pear_0,,move_to_pear,[],[],,instance
18,1,take_pear_0,fetch,place_pear,[],[],False,instance
18,2,go_to_sink_1,,navigate_to_kitchen_island,[],[],,instance
18,3,clean_pear_0,state_change,place_pear,[],[],False,instance
18,4,go_to_bowl_0,,place_bowl,[],[],,instance
18,5,put_pear_0_in_bowl_0,relocate,place_pear_on_table,[],[],False,instance
20,0,observe_peach_on_table,,place_peach_on_table,"[""277:2"",""5935:2""]","[""multi_object_sequence"",""relocate""]",,instance
20,1,observe_tomato_on_table,,fetch_tomato_from_cabinet,[],[],,instance
20,2,check_peach_in_cabinet,state_change,fetch_peach_from_cabinet,"[""277:1"",""5935:1""]","[""fetch"",""open_container_then_retrieve"",""relocate""]",False,instance
20,3,check_tomato_in_kitchen_work_area,state_change,fetch_tomato_from_cabinet,[],[],False,instance
20,4,bring_peach_from_cabinet,relocate,fetch_peach_from_cabinet,"[""656:1""]","[""fetch"",""open_container_then_retrieve"",""relocate""]",True,instance
20,5,bring_tomato_from_kitchen_work_area,relocate,fetch_tomato_from_cabinet,[],[],False,instance
29,0,move_to_peach_0,,move_to_pear,[],[],,instance
29,1,pick_peach_0,fetch,place_peach,[],[],False,instance
29,2,move_to_sink_1,,move_to_destination,"[""6451:1"",""6451:4""]","[""relocate""]",,instance
