index,manifest_allowed_instance_ids_sha256,manifest_allowed_instance_count,single_unit_segment_count,covering_segment_count,pool_byte_roundtrip
0,fcd1fd2a91c01f53944c2f3155d570f195e03c21312aa777945eb4dcc051b9d6,10359,10359,0,True
4,fcd1fd2a91c01f53944c2f3155d570f195e03c21312aa777945eb4dcc051b9d6,10359,10359,0,True
6,fcd1fd2a91c01f53944c2f3155d570f195e03c21312aa777945eb4dcc051b9d6,10359,10359,0,True
16,fcd1fd2a91c01f53944c2f3155d570f195e03c21312aa777945eb4dcc051b9d6,10359,10359,0,True
19,fcd1fd2a91c01f53944c2f3155d570f195e03c21312aa777945eb4dcc051b9d6,10359,10359,0,True
24,fcd1fd2a91c01f53944c2f3155d570f195e03c21312aa777945eb4dcc051b9d6,10359,10359,0,True
25,fcd1fd2a91c01f53944c2f3155d570f195e03c21312aa777945eb4dcc051b9d6,10359,10359,0,True
36,fcd1fd2a91c01f53944c2f3155d570f195e03c21312aa777945eb4dcc051b9d6,10359,10359,0,True
42,fcd1fd2a91c01f53944c2f3155d570f195e03c21312aa777945eb4dcc051b9d6,10359,10359,0,True
48,fcd1fd2a91c01f53944c2f3155d570f195e03c21312aa777945eb4dcc051b9d6,10359,10359,0,True
58,fcd1fd2a91c01f53944c2f3155d570f195e03c21312aa777945eb4dcc051b9d6,10359,10359,0,True
60,fcd1fd2a91c01f53944c2f3155d570f195e03c21312aa777945eb4dcc051b9d6,10359,10359,0,True
64,fcd1fd2a91c01f53944c2f3155d570f195e03c21312aa777945eb4dcc051b9d6,10359,10359,0,True
66,fcd1fd2a91c01f53944c2f3155d570f195e03c21312aa777945eb4dcc051b9d6,10359,10359,0,True
69,fcd1fd2a91c01f53944c2f3155d570f195e03c21312aa777945eb4dcc051b9d6,10359,10359,0,True
70,fcd1fd2a91c01f53944c2f3155d570f195e03c21312aa777945eb4dcc051b9d6,10359,10359,0,True
73,fcd1fd2a91c01f53944c2f3155d570f195e03c21312aa777945eb4dcc051b9d6,10359,10359,0,True
74,fcd1fd2a91c01f53944c2f3155d570f195e03c21312aa777945eb4dcc051b9d6,10359,10359,0,True
76,fcd1fd2a91c01f53944c2f3155d570f195e03c21312aa777945eb4dcc051b9d6,10359,10359,0,True
83,fcd1fd2a91c01f53944c2f3155d570f195e03c21312aa777945eb4dcc051b9d6,10359,10359,0,True
