index,selected_instance_count_before_trim,fully_injected_instance_ids,fully_injected_instance_count,partially_injected_instance_id,partial_suffix_count,final_prompt_is_byte_prefix_of_rendered_segments,complete_segment_blocks_byte_identical,final_prompt_sha256,untrimmed_render_sha256
220,0,[],0,,0,True,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
338,6,"[""1305:0"",""1305:1"",""1436:0"",""1436:1"",""160:0"",""160:1""]",6,,0,True,True,e7b572b07f31c0038d186e6cb52c806f7bf666507004d6671091c34afb7cc911,5318cdea5c3a2a009a5918af398d47bde068b5701d0c344227bf04035bd54d00
354,2,"[""1971:0""]",1,1971:1,1,True,True,2c02ce659eb86e0280a407b4f2f8198cd3443ddc16ebbaab410908c1e18a6319,468d0963b088cf10eaf64693d8334ed4c99ea431f82a88d12625a0aa10dfaead
376,2,"[""137:1"",""137:2""]",2,,0,True,True,f0e3c1e7301fa6930bfa37691d9d71518114a3b20b050e1fa3ee4a31c53a6fea,5e986c49845375fa0c1a1d5fec915859ae533d6622f5cf13493e34ddeea162e5
430,2,"[""1171:1""]",1,1171:2,1,True,True,cb71b961dff2ee173425dc27b946d5522ce9579a5aadb4e6343682a51e659f7b,de74ad182f1b88fa0a7711d1a36805d615403d9080d1dcb92226416706663c4d
487,3,"[""691:2"",""691:3""]",2,4049:1,1,True,True,6cc3494a6860f1489dc16b16bda7e96aca0d9fa7f16f56dd7ca8bd40d02c69a0,54b9f8276e5bdafd7f685a34ade50f2c231e9125c27c2ee822640fef9d0d5a8b
541,2,"[""142:1"",""142:2""]",2,,0,True,True,da56c71cddb2df550f70f514346099b7ea7aa685023964d58ba100f8083a93b5,1376459e43fd310313393db3d0851c297c45b02b49538847163545917d307250
637,2,"[""1450:0""]",1,1450:1,1,True,True,f40f4e9a0937cb293b804e7dc0f8271eb8453cda9582208cab26f27332b6bf4d,7493ab762af321acbadfa97ecb4ab66bbe71650cb5d12f86b7fe1296f6633b97
919,3,"[""1438:0"",""1438:1""]",2,1449:0,1,True,True,0b46e7fb1febe62de18c307ef90e3a8a7619080a6344ce66dad67a48b435797f,28a1a3a059ba93cf5d35f28af5bf784de82f5dd558c823aa75fefe8bd3a5de78
980,2,"[""1171:1""]",1,1171:2,1,True,True,fbfac783e59a21ab4d56b9d0d40829d596d2ac571a9943b8294b4de173bdbc62,de74ad182f1b88fa0a7711d1a36805d615403d9080d1dcb92226416706663c4d
1006,2,"[""1848:0""]",1,1848:1,1,True,True,1a7fd2dda3ef6fbef6139b6a361f96b10a0d08d02cdb4c1bd6abc495f5a76043,b435af770806ec2d0c9632a370b73971c5d0a99e65944cefff84eceab4576a3a
1115,6,"[""1305:0"",""1305:1"",""1436:0"",""1436:1"",""160:0"",""160:1""]",6,,0,True,True,e7b572b07f31c0038d186e6cb52c806f7bf666507004d6671091c34afb7cc911,5318cdea5c3a2a009a5918af398d47bde068b5701d0c344227bf04035bd54d00
1133,0,[],0,,0,True,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
1358,2,"[""6273:2""]",1,6273:3,1,True,True,ff356cf7cacda286e41015e9bcefee50fdcf845ce11645a4a585f213cae93ed2,4286758bfb8556ae5350d27fe396feac7bdea27248839d969051a809089ccd63
1404,3,"[""2643:2"",""2643:3""]",2,3355:2,1,True,True,9ef8ebfb44ef6c32bc6ca16e0f9493b8daa8a4e63b7cc85a30f8e937675af7e4,323770a860061a3655bb300c8c15993c23a953ef4092336253a04194291038db
1437,2,"[""1450:0""]",1,1450:1,1,True,True,c0b23898136eb9b7de6e70584d31f52bf679b787b6a2d1a1fdeaac4c3ee8b66a,7493ab762af321acbadfa97ecb4ab66bbe71650cb5d12f86b7fe1296f6633b97
1462,0,[],0,,0,True,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
1602,1,"[""4137:0""]",1,,0,True,True,12fac3d5ec4b2446a69366f6033d03959f75062b9b2c3725f34656968d3fe326,ef8d7bb4bc4a5d469b08b78fa88a7b839429f4f3c2164d6bd9164db51e0e935d
1717,4,"[""1808:0"",""1808:2"",""1194:0"",""1194:1""]",4,,0,True,True,d304a03bb3ee3efc7cfc79f9b61c61e159b961a23f970da00362b1b2e047206f,e411e3762408a9335b930e628cbc35e69965d1dc6bec56a4db3fcb8abddddae4
1741,2,"[""1126:1""]",1,1126:2,1,True,True,492984892fd274666707ff4143211a389fd4cc2bf6c06d720fae10923b0f2557,df4c2bbe0be76e2a5a46c7cf8cbe764a9237efcf339625ccf7956115742dec7a
