index,rank,instance_id,segment_render_sha256,skill_render_sha256,byte_identical
220,1,1230:0,bf88660063bae58d520c72d21fcd74fc3b4d491f10f4f5734c6c8532fa7b1b23,bf88660063bae58d520c72d21fcd74fc3b4d491f10f4f5734c6c8532fa7b1b23,True
220,2,1230:1,a25be1852a4c5c6ba39a86b1112f5539fd7667cdfc6c61a7d1f5ab2ff8251f38,a25be1852a4c5c6ba39a86b1112f5539fd7667cdfc6c61a7d1f5ab2ff8251f38,True
220,3,5732:0,bf88660063bae58d520c72d21fcd74fc3b4d491f10f4f5734c6c8532fa7b1b23,bf88660063bae58d520c72d21fcd74fc3b4d491f10f4f5734c6c8532fa7b1b23,True
220,4,5732:1,a25be1852a4c5c6ba39a86b1112f5539fd7667cdfc6c61a7d1f5ab2ff8251f38,a25be1852a4c5c6ba39a86b1112f5539fd7667cdfc6c61a7d1f5ab2ff8251f38,True
220,5,6122:0,bf88660063bae58d520c72d21fcd74fc3b4d491f10f4f5734c6c8532fa7b1b23,bf88660063bae58d520c72d21fcd74fc3b4d491f10f4f5734c6c8532fa7b1b23,True
220,6,6122:1,a25be1852a4c5c6ba39a86b1112f5539fd7667cdfc6c61a7d1f5ab2ff8251f38,a25be1852a4c5c6ba39a86b1112f5539fd7667cdfc6c61a7d1f5ab2ff8251f38,True
338,1,1305:0,c32cd5bc377de2aa31b05f5a83a983b0a12bfe4cc7f970eda28d248a907b3229,c32cd5bc377de2aa31b05f5a83a983b0a12bfe4cc7f970eda28d248a907b3229,True
338,2,1305:1,bfb9abbcf278b72bbd730cf13c5869bee7484e8b3fac422b3ca6fa216be1948e,bfb9abbcf278b72bbd730cf13c5869bee7484e8b3fac422b3ca6fa216be1948e,True
338,3,1436:0,c32cd5bc377de2aa31b05f5a83a983b0a12bfe4cc7f970eda28d248a907b3229,c32cd5bc377de2aa31b05f5a83a983b0a12bfe4cc7f970eda28d248a907b3229,True
338,4,1436:1,bfb9abbcf278b72bbd730cf13c5869bee7484e8b3fac422b3ca6fa216be1948e,bfb9abbcf278b72bbd730cf13c5869bee7484e8b3fac422b3ca6fa216be1948e,True
338,5,160:0,c32cd5bc377de2aa31b05f5a83a983b0a12bfe4cc7f970eda28d248a907b3229,c32cd5bc377de2aa31b05f5a83a983b0a12bfe4cc7f970eda28d248a907b3229,True
338,6,160:1,bfb9abbcf278b72bbd730cf13c5869bee7484e8b3fac422b3ca6fa216be1948e,bfb9abbcf278b72bbd730cf13c5869bee7484e8b3fac422b3ca6fa216be1948e,True
354,1,1971:0,67db028bf36a95cdd91cc23b621aeec77353b36720fb96b198d9ee32e88ec888,67db028bf36a95cdd91cc23b621aeec77353b36720fb96b198d9ee32e88ec888,True
354,2,1971:1,a985d7c428edfbce4b51c11aaa748605771f97ad3ec356ade099adbcacc5300a,a985d7c428edfbce4b51c11aaa748605771f97ad3ec356ade099adbcacc5300a,True
354,3,2646:0,67db028bf36a95cdd91cc23b621aeec77353b36720fb96b198d9ee32e88ec888,67db028bf36a95cdd91cc23b621aeec77353b36720fb96b198d9ee32e88ec888,True
354,4,2646:1,a985d7c428edfbce4b51c11aaa748605771f97ad3ec356ade099adbcacc5300a,a985d7c428edfbce4b51c11aaa748605771f97ad3ec356ade099adbcacc5300a,True
