index,ood_subset,baseline_success,memory_success,baseline_failure_reason,memory_failure_reason,baseline_official_error_code,memory_official_error_code,baseline_simulator_success,memory_simulator_success,baseline_length_bound_violation,memory_length_bound_violation,plan_len_baseline,plan_len_memory,plan_len_delta,reference_len,baseline_illegal_actions,baseline_ungrounded_targets,baseline_static_invalid,memory_illegal_actions,memory_ungrounded_targets,memory_static_invalid,injected_demo_ids,demo_absent_entities,demo_anchoring_fraction,baseline_static_fix
12,bowl_missing,False,True,goal_miss,success,FAILED_GOAL_CONSTRAINT,,False,True,False,False,5,5,0,5,[],[],False,[],[],False,"[3458,2781,228,225,6705]","{""225"":[""fork""],""6705"":[""spoon""]}",0.4,False
26,plate_missing,False,True,goal_miss,success,FAILED_GOAL_CONSTRAINT,,False,True,False,False,5,5,0,5,[],[],False,[],[],False,"[1428,2075,56,383,1401]","{""56"":[""banana""],""383"":[""apple""],""1401"":[""pear""],""1428"":[""apple""],""2075"":[""tomato""]}",1.0,False
29,plate_missing,False,True,goal_miss,success,FAILED_GOAL_CONSTRAINT,,False,True,False,False,5,5,0,5,[],[],False,[],[],False,"[940,1197,398,1287,352]","{""352"":[""apple""],""398"":[""pear""],""940"":[""pear""],""1197"":[""tomato""],""1287"":[""banana""]}",1.0,False
31,bowl_missing,False,True,goal_miss,success,FAILED_GOAL_CONSTRAINT,,False,True,False,False,5,5,0,5,[],[],False,[],[],False,"[1401,2069,129,316,1428]","{""129"":[""banana""],""316"":[""pear""],""1401"":[""pear""],""1428"":[""apple""],""2069"":[""tomato""]}",1.0,False
48,plate_missing,False,True,goal_miss,success,FAILED_GOAL_CONSTRAINT,,False,True,False,False,5,5,0,5,[],[],False,[],[],False,"[38,416,548,2909,161]","{""38"":[""tomato""],""161"":[""peach""],""416"":[""pear""],""548"":[""pear""],""2909"":[""banana""]}",1.0,False
58,plate_missing,False,True,goal_miss,success,FAILED_GOAL_CONSTRAINT,,False,True,False,False,5,5,0,5,[],[],False,[],[],False,"[73,2780,57,1222,1428]","{""57"":[""apple""],""73"":[""pear""],""1222"":[""banana""],""1428"":[""apple""],""2780"":[""banana""]}",1.0,False
99,bowl_missing,False,True,goal_miss,success,FAILED_GOAL_CONSTRAINT,,False,True,False,False,5,5,0,5,[],[],False,[],[],False,"[2700,2742,3597,2873,3152]","{""2700"":[""banana"",""bread""],""2742"":[""bread"",""meat""],""2873"":[""bread"",""tomato""],""3152"":[""banana"",""green peas""],""3597"":[""meat"",""pumpkin""]}",1.0,False
100,bowl_missing,False,True,goal_miss,success,FAILED_GOAL_CONSTRAINT,,False,True,False,False,5,5,0,5,[],[],False,[],[],False,"[2700,2742,3597,2873,3152]","{""2700"":[""banana"",""bread""],""2742"":[""bread"",""meat""],""2873"":[""bread"",""tomato""],""3152"":[""banana"",""green peas""],""3597"":[""meat"",""pumpkin""]}",1.0,False
104,bowl_missing,False,True,goal_miss,success,FAILED_GOAL_CONSTRAINT,,False,True,False,False,5,5,0,5,[],[],False,[],[],False,"[1571,3755,3365,1228,4735]",{},0.0,False
142,bowl_missing,False,True,goal_miss,success,FAILED_GOAL_CONSTRAINT,,False,True,False,False,5,5,0,5,[],[],False,[],[],False,"[1571,3755,3365,1228,4735]",{},0.0,False
