# cell_id	backbone	argkey	target	seed	n_episodes
# order (09-22 05:10): seed-major; Table 1 s0 (5 methods x 2 backbones), s1, s2; then Table 2 s0, s1, s2
B_llama8b_T1_ours_RS_R_s0	llama8b	ours_RS_R	RS	0	76
B_qwen7b_T1_ours_RS_R_s0	qwen7b	ours_RS_R	RS	0	76
B_llama8b_T1_zs_RS_s0	llama8b	zs	RS	0	76
B_qwen7b_T1_zs_RS_s0	qwen7b	zs	RS	0	76
B_llama8b_T1_tom_RS_s0	llama8b	tom	RS	0	76
B_qwen7b_T1_tom_RS_s0	qwen7b	tom	RS	0	76
B_llama8b_T1_rag_RS_R_s0	llama8b	rag_RS_R	RS	0	76
B_qwen7b_T1_rag_RS_R_s0	qwen7b	rag_RS_R	RS	0	76
B_llama8b_T1_memento_RS_R_s0	llama8b	memento_RS_R	RS	0	76
B_qwen7b_T1_memento_RS_R_s0	qwen7b	memento_RS_R	RS	0	76
B_llama8b_T1_ours_RS_R_s1	llama8b	ours_RS_R	RS	1	76
B_qwen7b_T1_ours_RS_R_s1	qwen7b	ours_RS_R	RS	1	76
B_llama8b_T1_zs_RS_s1	llama8b	zs	RS	1	76
B_qwen7b_T1_zs_RS_s1	qwen7b	zs	RS	1	76
B_llama8b_T1_tom_RS_s1	llama8b	tom	RS	1	76
B_qwen7b_T1_tom_RS_s1	qwen7b	tom	RS	1	76
B_llama8b_T1_rag_RS_R_s1	llama8b	rag_RS_R	RS	1	76
B_qwen7b_T1_rag_RS_R_s1	qwen7b	rag_RS_R	RS	1	76
B_llama8b_T1_memento_RS_R_s1	llama8b	memento_RS_R	RS	1	76
B_qwen7b_T1_memento_RS_R_s1	qwen7b	memento_RS_R	RS	1	76
B_llama8b_T1_ours_RS_R_s2	llama8b	ours_RS_R	RS	2	76
B_qwen7b_T1_ours_RS_R_s2	qwen7b	ours_RS_R	RS	2	76
B_llama8b_T1_zs_RS_s2	llama8b	zs	RS	2	76
B_qwen7b_T1_zs_RS_s2	qwen7b	zs	RS	2	76
B_llama8b_T1_tom_RS_s2	llama8b	tom	RS	2	76
B_qwen7b_T1_tom_RS_s2	qwen7b	tom	RS	2	76
B_llama8b_T1_rag_RS_R_s2	llama8b	rag_RS_R	RS	2	76
B_qwen7b_T1_rag_RS_R_s2	qwen7b	rag_RS_R	RS	2	76
B_llama8b_T1_memento_RS_R_s2	llama8b	memento_RS_R	RS	2	76
B_qwen7b_T1_memento_RS_R_s2	qwen7b	memento_RS_R	RS	2	76
B_llama8b_T2_ours_RS_RS_s0	llama8b	ours_RS_RS	RS	0	76
B_llama8b_T2_rag_RS_RS_s0	llama8b	rag_RS_RS	RS	0	76
B_llama8b_T2_memento_RS_RS_s0	llama8b	memento_RS_RS	RS	0	76
B_llama8b_T2_ours_HRT_HRHT_s0	llama8b	ours_HRT_HRHT	HRT	0	11
B_llama8b_T2_rag_HRT_HRHT_s0	llama8b	rag_HRT_HRHT	HRT	0	11
B_llama8b_T2_memento_HRT_HRHT_s0	llama8b	memento_HRT_HRHT	HRT	0	11
B_llama8b_T2_zs_HRT_s0	llama8b	zs	HRT	0	11
B_llama8b_T2_tom_HRT_s0	llama8b	tom	HRT	0	11
B_llama8b_T2_ours_HRST_RSHRHT_s0	llama8b	ours_HRST_RSHRHT	HRST	0	5
B_llama8b_T2_rag_HRST_RSHRHT_s0	llama8b	rag_HRST_RSHRHT	HRST	0	5
B_llama8b_T2_memento_HRST_RSHRHT_s0	llama8b	memento_HRST_RSHRHT	HRST	0	5
B_llama8b_T2_zs_HRST_s0	llama8b	zs	HRST	0	5
B_llama8b_T2_tom_HRST_s0	llama8b	tom	HRST	0	5
B_llama8b_T2_ours_RS_RS_s1	llama8b	ours_RS_RS	RS	1	76
B_llama8b_T2_rag_RS_RS_s1	llama8b	rag_RS_RS	RS	1	76
B_llama8b_T2_memento_RS_RS_s1	llama8b	memento_RS_RS	RS	1	76
B_llama8b_T2_ours_HRT_HRHT_s1	llama8b	ours_HRT_HRHT	HRT	1	11
B_llama8b_T2_rag_HRT_HRHT_s1	llama8b	rag_HRT_HRHT	HRT	1	11
B_llama8b_T2_memento_HRT_HRHT_s1	llama8b	memento_HRT_HRHT	HRT	1	11
B_llama8b_T2_zs_HRT_s1	llama8b	zs	HRT	1	11
B_llama8b_T2_tom_HRT_s1	llama8b	tom	HRT	1	11
B_llama8b_T2_ours_HRST_RSHRHT_s1	llama8b	ours_HRST_RSHRHT	HRST	1	5
B_llama8b_T2_rag_HRST_RSHRHT_s1	llama8b	rag_HRST_RSHRHT	HRST	1	5
B_llama8b_T2_memento_HRST_RSHRHT_s1	llama8b	memento_HRST_RSHRHT	HRST	1	5
B_llama8b_T2_zs_HRST_s1	llama8b	zs	HRST	1	5
B_llama8b_T2_tom_HRST_s1	llama8b	tom	HRST	1	5
B_llama8b_T2_ours_RS_RS_s2	llama8b	ours_RS_RS	RS	2	76
B_llama8b_T2_rag_RS_RS_s2	llama8b	rag_RS_RS	RS	2	76
B_llama8b_T2_memento_RS_RS_s2	llama8b	memento_RS_RS	RS	2	76
B_llama8b_T2_ours_HRT_HRHT_s2	llama8b	ours_HRT_HRHT	HRT	2	11
B_llama8b_T2_rag_HRT_HRHT_s2	llama8b	rag_HRT_HRHT	HRT	2	11
B_llama8b_T2_memento_HRT_HRHT_s2	llama8b	memento_HRT_HRHT	HRT	2	11
B_llama8b_T2_zs_HRT_s2	llama8b	zs	HRT	2	11
B_llama8b_T2_tom_HRT_s2	llama8b	tom	HRT	2	11
B_llama8b_T2_ours_HRST_RSHRHT_s2	llama8b	ours_HRST_RSHRHT	HRST	2	5
B_llama8b_T2_rag_HRST_RSHRHT_s2	llama8b	rag_HRST_RSHRHT	HRST	2	5
B_llama8b_T2_memento_HRST_RSHRHT_s2	llama8b	memento_HRST_RSHRHT	HRST	2	5
B_llama8b_T2_zs_HRST_s2	llama8b	zs	HRST	2	5
B_llama8b_T2_tom_HRST_s2	llama8b	tom	HRST	2	5
